FID,PARENT,STATUS,LENGTH,GREENBOOK,HIGHWAY,GIS,JURISDICTI,QC_NOTE,FUN_CLASS,GRID,MIN_STATIO,MAX_STATIO,COUNCIL,DISTRICT1,District,NO_LABEL,RTE_SYS_ED,Shape__Length,District_Split
1345,DRUMM1, ,321,Drummond St,DRUMMOND ST,1,PUBLIC WAY, ,LO,0,0,321,4,3-03,3-03,0, ,132.13106424422898,['3-03']
1346,DRURY1, ,215,Drury Rd,DRURY RD,1,PUBLIC WAY, ,LO,0,0,215,5,2-08,2-08,0, ,88.3269159025222,['2-08']
1347,DRY D1, ,3207,Dry Dock Ave,DRY DOCK AV,1,PRIVATE WAY, ,LO,0,0,3207,2,3-05,3-05,0, ,1320.81702893275,['3-05']
1348,DUBOI1, ,756,Dubois St,DUBOIS ST,1,PUBLIC WAY, ,LO,0,0,756,7,1-10B,1-10B,0, ,311.528182795982,['1-10B']
1349,DUDLE1, ,9277,Dudley St,DUDLEY ST,1,PUBLIC WAY, ,AR,0,0,9277,7,"1-10B, 3-03","1-10B, 3-03",1, ,3823.7364228248207,"['1-10B', ' 3-03']"
1350,DUDLE3, ,159,Dudley Ter,DUDLEY TER,1,PUBLIC WAY, ,LO,0,0,159,7,3-03,3-03,1, ,65.7678253238425,['3-03']
1351,DUDLE4, ,119,Dudley Pl,DUDLEY PL,1,PRIVATE WAY, ,LO,0,0,119,7,1-10B,1-10B,1, ,49.015893130658704,['1-10B']
1352,DUKE 1, ,750,Duke St,DUKE ST,1,PUBLIC WAY, ,LO,0,0,750,4,3-07,3-07,1, ,308.938773780182,['3-07']
1353,DUKE 2, ,102,Duke Street Fw,DUKE STREET FW,1,PUBLIC WAY, ,LO,0,0,102,4,3-07,3-07,0, ,42.081369249794705,['3-07']
1354,DUMAS1, ,423,Dumas St,DUMAS ST,1,PUBLIC WAY, ,LO,0,0,423,4,3-07,3-07,1, ,174.122177492882,['3-07']
1355,DUNBA1, ,573,Dunbar Ave,DUNBAR AV,1,PUBLIC WAY, ,LO,0,0,573,4,3-07,3-07,0, ,235.78199664399398,['3-07']
1356,DUNBA2, ,543,Dunbarton Rd,DUNBARTON RD,1,PRIVATE WAY, ,LO,0,0,543,6,2-06,2-06,0, ,223.72152628041303,['2-06']
1357,DUNBO1, ,1287,Dunboy St,DUNBOY ST,1,PUBLIC WAY, ,LO,0,0,1287,9,2-04,2-04,1, ,531.890772469506,['2-04']
1358,DUNCA1, ,660,Duncan St,DUNCAN ST,1,PUBLIC WAY, ,LO,0,0,660,3,3-03,3-03,0, ,272.41941574634996,['3-03']
1359,DUNCA2, ,167,Duncan Pl,DUNCAN PL,1,PRIVATE WAY, ,LO,0,0,167,3,3-03,3-03,0, ,68.9627150637517,['3-03']
1360,DUNCA3, ,122,Duncan Ter,DUNCAN TER,1,PRIVATE WAY, ,LO,0,0,122,3,3-03,3-03,0, ,50.210651320645105,['3-03']
1361,DUNCK1, ,469,Duncklee St,DUNCKLEE ST,1,PUBLIC WAY, ,LO,0,0,469,9,2-04,2-04,1, ,193.59747701846803,['2-04']
1362,DUNFO1, ,207,Dunford St,DUNFORD ST,1,PUBLIC WAY, ,LO,0,0,207,7,1-10B,1-10B,1, ,85.6186163874621,['1-10B']
1363,DUNGA1, ,501,Dungarven Rd,DUNGARVEN RD,1,PUBLIC WAY, ,LO,0,0,501,6,2-02,2-02,0, ,206.61097162623298,['2-02']
1364,DUNKE1, ,289,Dunkeld St,DUNKELD ST,1,PUBLIC WAY, ,LO,0,0,289,7,3-03,3-03,0, ,119.29762533423,['3-03']
1365,DUNLA1, ,845,Dunlap St,DUNLAP ST,1,PUBLIC WAY, ,LO,0,0,845,4,3-07,3-07,0, ,347.815845938364,['3-07']
1366,DUNMO1, ,460,Dunmore St,DUNMORE ST,1,PUBLIC WAY, ,LO,0,0,460,7,"1-10B, 3-03","1-10B, 3-03",0, ,189.558741481956,"['1-10B', ' 3-03']"
1367,DUNN 1, ,226,Dunn St,DUNN ST,1,PRIVATE WAY, ,LO,0,0,226,3,3-03,3-03,0, ,92.9687489720459,['3-03']
1368,DUNN 2, ,235,Dunns Ter,DUNNS TER,1,PRIVATE WAY, ,LO,0,0,235,3,3-07,3-07,1, ,96.955334409364,['3-07']
1369,DUNNI1, ,321,Dunning Way,DUNNING WAY,1,PRIVATE WAY, ,LO,0,0,321,6,2-02,2-02,0, ,132.494195317352,['2-02']
1370,DUNRE1, ,680,Dunreath St,DUNREATH ST,1,PUBLIC WAY, ,LO,0,0,680,7,1-10B,1-10B,1, ,280.289642103772,['1-10B']
1371,DUNRE2, ,138,Dunreath Ter,DUNREATH TER,1,PRIVATE WAY, ,LO,0,0,138,7,1-10B,1-10B,1, ,57.087961036189796,['1-10B']
1372,DUNST1, ,1249,Dunstable St,DUNSTABLE ST,1,PUBLIC WAY, ,LO,0,0,1249,1,1-1A,1-1A,0, ,515.318977271951,['1-1A']
1373,DUNST2, ,1902,Dunster Rd,DUNSTER RD,1,PUBLIC WAY, ,LO,0,0,1902,6,2-02,2-02,1, ,785.0124448338839,['2-02']
1374,DUNWE1, ,448,Dunwell St,DUNWELL ST,1,PUBLIC WAY, ,LO,0,0,448,6,2-06,2-06,0, ,184.423760265365,['2-06']
1375,DURAN1, ,554,Durant St,DURANT ST,1,PUBLIC WAY, ,LO,0,0,554,6,2-06,2-06,0, ,228.08433160696202,['2-06']
1376,DURHA1, ,265,Durham St,DURHAM ST,1,PUBLIC WAY, ,LO,0,0,265,7,1-1C,1-1C,1, ,109.125613507624,['1-1C']
1377,DURLA1, ,213,Durland St,DURLAND ST,1,PUBLIC WAY, ,LO,0,0,213,9,2-04,2-04,1, ,87.89749434729679,['2-04']
1378,DURNE1, ,2013,Durnell Ave,DURNELL AV,1,PUBLIC WAY, ,CO,0,0,2013,5,2-06,2-06,1, ,829.7049494167709,['2-06']
1379,DUSTI1, ,1659,Dustin St,DUSTIN ST,1,PUBLIC WAY, ,LO,0,0,1659,9,2-04,2-04,0, ,685.43571868093,['2-04']
1380,DUVAL1, ,568,Duval St,DUVAL ST,1,PUBLIC WAY, ,LO,0,0,568,9,2-04,2-04,0, ,234.09818728925399,['2-04']
1381,DUXBU1, ,462,Duxbury Rd,DUXBURY RD,1,PUBLIC WAY, ,LO,0,0,462,4,3-07,3-07,0, ,190.533557839417,['3-07']
1382,DWIGH1, ,775,Dwight St,DWIGHT ST,1,PUBLIC WAY, ,LO,0,0,775,2,1-1C,1-1C,1, ,319.224333068965,['1-1C']
1383,DWINE1, ,1640,Dwinell St,DWINELL ST,1,PUBLIC WAY, ,LO,0,0,1640,6,2-06,2-06,0, ,676.247706076794,['2-06']
1384,DYER 1, ,552,Dyer St,DYER ST,1,PUBLIC WAY, ,LO,0,0,552,4,3-07,3-07,0, ,227.58675270627498,['3-07']
1385,DYER 2, ,187,Dyer Ave,DYER AV,1,PRIVATE WAY, ,LO,0,0,187,2,3-05,3-05,0, ,77.2944727087059,['3-05']
1386,DYER 3, ,203,Dyer Ct,DYER CT,1,PRIVATE WAY, ,LO,0,0,203,4,3-07,3-07,0, ,83.3757433970033,['3-07']
1387,E BER1, ,2153,East Berkeley St,E BERKELEY ST,1,PUBLIC WAY, ,AR,0,0,2153,2,1-1C,1-1C,0, ,887.223221052601,['1-1C']
1388,E BRO1, ,5855,East Broadway,E BROADWAY,1,PUBLIC WAY, ,AR,0,0,5855,2,3-05,3-05,0, ,2410.72799301527,['3-05']
1389,E BRO2, ,1418,East Brookline St,E BROOKLINE ST,1,PUBLIC WAY, ,LO,0,0,1418,2,1-1C,1-1C,0, ,585.095244049802,['1-1C']
1390,E CAN1, ,802,East Canton St,E CANTON ST,1,PUBLIC WAY, ,LO,0,0,802,2,1-1C,1-1C,0, ,331.021808393883,['1-1C']
1391,E CON1, ,1433,East Concord St,E CONCORD ST,1,PUBLIC WAY, ,LO,0,0,1433,2,1-1C,1-1C,1, ,591.294668622003,['1-1C']
1392,E COT1, ,4613,East Cottage St,E COTTAGE ST,1,PUBLIC WAY, ,LO,0,0,4613,7,3-03,3-03,1, ,1899.78807707893,['3-03']
1393,E DED1, ,818,East Dedham St,E DEDHAM ST,1,PUBLIC WAY, ,LO,0,0,818,2,1-1C,1-1C,0, ,337.284839143861,['1-1C']
1394,E EAG1, ,2126,East Eagle St,E EAGLE ST,1,PUBLIC WAY, ,CO,0,0,2126,1,1-09,1-09,0, ,875.9854308404911,['1-09']
1395,E EIG1, ,5993,East Eighth St,E EIGHTH ST,1,PUBLIC WAY, ,CO,0,0,5993,2,3-05,3-05,1, ,2467.8595280374398,['3-05']
1396,E FIF1, ,5190,East Fifth St,E FIFTH ST,1,PUBLIC WAY, ,LO,0,0,5190,2,3-05,3-05,1, ,2136.60057406057,['3-05']
1397,E FIR1, ,5215,East First St,E FIRST ST,1,PUBLIC WAY, ,AR,0,0,5215,2,3-05,3-05,0, ,2147.15260539122,['3-05']
1398,E FOU1, ,5944,East Fourth St,E FOURTH ST,1,PUBLIC WAY, ,CO,0,0,5944,2,3-05,3-05,0, ,2447.49858143532,['3-05']
1399,E LEN1, ,1098,East Lenox St,E LENOX ST,1,PUBLIC WAY, ,CO,0,0,1098,7,1-10B,1-10B,0, ,452.874332810693,['1-10B']
1400,E NEW1, ,1430,East Newton St,E NEWTON ST,1,PUBLIC WAY, ,LO,0,0,1430,2,1-1C,1-1C,1, ,589.957565538161,['1-1C']
1401,E NIN1, ,769,East Ninth St,E NINTH ST,1,PUBLIC WAY, ,LO,0,0,769,2,3-05,3-05,0, ,317.123617288102,['3-05']
1402,E SEC1, ,2707,East Second St,E SECOND ST E,1,PUBLIC WAY, ,LO,0,0,2707,2,3-05,3-05,0, ,1114.5158903802999,['3-05']
1403,E SEC2, ,1676,East Second St,E SECOND ST W,1,PUBLIC WAY, ,LO,0,0,1676,2,3-05,3-05,0, ,690.201129266379,['3-05']
1404,E SER1, ,757, ,EAST SERVICE RD,1,PUBLIC WAY, ,LO,0,0,974,2,3-05,3-05,0, ,312.42770383294896,['3-05']
1405,E SEV1, ,4471,East Seventh St,E SEVENTH ST,1,PUBLIC WAY, ,LO,0,0,4471,2,3-05,3-05,0, ,1840.8662512780102,['3-05']
1406,E SIX1, ,5188,East Sixth St,E SIXTH ST,1,PUBLIC WAY, ,LO,0,0,5188,2,3-05,3-05,1, ,2136.05874635005,['3-05']
1407,E SPR1, ,742,East Springfield St,E SPRINGFIELD ST,1,PUBLIC WAY, ,LO,0,0,742,2,1-1C,1-1C,1, ,306.293671656011,['1-1C']
1408,E ST 1, ,5420,E St,E ST,1,PUBLIC WAY, ,CO,0,0,5420,2,3-05,3-05,0, ,2236.38288763833,['3-05']
1409,E THI1, ,2951,East Third St,E THIRD ST W,1,PUBLIC WAY, ,LO,0,0,2951,2,3-05,3-05,0, ,1215.17063946038,['3-05']
1410,E THI2, ,1683,East Third St,E THIRD ST E,1,PUBLIC WAY, ,LO,0,0,1683,2,3-05,3-05,0, ,692.905911465051,['3-05']
1411,EAGLE1, ,764,Eagle St,EAGLE ST,1,PRIVATE WAY, ,LO,0,0,764,6,2-06,2-06,0, ,314.927823902476,['2-06']
1412,EAGLE2, ,232,Eagle Sq,EAGLE SQ,1,PUBLIC WAY, ,AR,0,0,232,1,1-09,1-09,1, ,95.9503703146608,['1-09']
1413,EARL 1, ,208,Earl St,EARL ST,1,PRIVATE WAY, ,LO,0,0,208,2,3-05,3-05,1, ,85.83713895701992,['3-05']
1414,EARNS1, ,178,Earnshaw St,EARNSHAW ST,1,PUBLIC WAY, ,LO,0,0,178,6,2-06,2-06,0, ,73.43878734378059,['2-06']
1415,EAST 20, ,1171,East St,EAST ST DO,1,PUBLIC WAY, ,LO,0,0,1171,3,3-03,3-03,0, ,481.968185500213,['3-03']
1416,EAST 21, ,320,East St,EAST ST BP,1,PUBLIC WAY, ,LO,0,0,320,2,1-1C,1-1C,1, ,131.86422097493,['1-1C']
1417,EAST 28, ,6878,East Boundary Rd,EAST BOUNDARY RD,1,DCR, ,LO,0,0,6878,5,"2-06, 2-08","2-06, 2-08",0, ,2836.94752260299,"['2-06', ' 2-08']"
1418,EAST 30, ,247,East Street Pl,EAST ST PL,1,PRIVATE WAY, ,LO,0,0,247,2,1-1C,1-1C,1, ,102.113165298439,['1-1C']
1419,EASTB1, ,984,Eastbourne St,EASTBOURNE ST,1,PUBLIC WAY, ,LO,0,0,984,5,2-06,2-06,0, ,405.76700468563905,['2-06']
1420,EASTB2, ,661,Eastburn St,EASTBURN ST,1,PUBLIC WAY, ,LO,0,0,661,9,2-04,2-04,1, ,272.984514950587,['2-04']
1421,EASTB4, ,174,Eastburn Pl,EASTBURN PL,1,PRIVATE WAY, ,LO,0,0,174,9,2-04,2-04,0, ,71.818474303348,['2-04']
1422,EASTB3,"FOUND, MJM",156,Eastburn Fw,EASTBURN FW,1,PUBLIC WAY, ,LO,0,0,156,9,2-04,2-04,1, ,64.1530681661477,['2-04']
1423,EASTE1, ,435,Eastern Ave,EASTERN AV,1,PUBLIC WAY, ,LO,0,0,435,1,1-1B,1-1B,0, ,179.090969963657,['1-1B']
1424,EASTL1, ,1540,Eastland Rd,EASTLAND RD,1,PUBLIC WAY, ,LO,0,0,1540,6,2-02,2-02,0, ,635.281088107837,['2-02']
1425,EASTM1, ,676,Eastman St,EASTMAN ST,1,PUBLIC WAY, ,LO,0,0,676,7,3-03,3-03,1, ,278.670111043278,['3-03']
1426,EASTM2, ,508,Eastmont Rd,EASTMONT RD,1,PUBLIC WAY, ,LO,0,0,508,5,2-08,2-08,0, ,209.190639343664,['2-08']
1427,EASTO1, ,781,Easton Ave,EASTON AV,1,PUBLIC WAY, ,LO,0,0,781,5,2-08,2-08,0, ,321.883587620257,['2-08']
1428,EASTO2, ,1231,Easton St,EASTON ST,1,PUBLIC WAY, ,LO,0,0,1231,9,2-04,2-04,0, ,507.53643709858596,['2-04']
1429,EASTW1, ,1887,Eastwood Cc,EASTWOOD CIRCUIT,1,PUBLIC WAY, ,LO,0,0,1887,6,2-06,2-06,0, ,778.006225283738,['2-06']
1430,EATON1, ,259,Eatonia St,EATONIA ST,1,PRIVATE WAY, ,LO,0,0,259,9,2-04,2-04,1, ,106.82387996175301,['2-04']
1431,EDEN 1, ,587,Eden St,EDEN ST,1,PUBLIC WAY, ,LO,0,0,587,1,1-1A,1-1A,0, ,242.509036819423,['1-1A']
1432,EDGE 1, ,611,Edge Hill St,EDGE HILL ST,1,PUBLIC WAY, ,LO,0,0,611,6,1-10A,1-10A,0, ,251.517415827102,['1-10A']
1433,EDGEB1, ,463,Edgebrook Rd,EDGEBROOK RD,1,PUBLIC WAY, ,LO,0,0,463,6,2-06,2-06,0, ,190.43740387168998,['2-06']
1434,EDGEM1, ,2069,Edgemere Rd,EDGEMERE RD,1,PUBLIC WAY, ,LO,0,0,2069,6,"2-06, 2-08","2-06, 2-08",0, ,840.9930150747721,"['2-06', ' 2-08']"
1435,EDGEM2, ,548,Edgemont St,EDGEMONT ST,1,PUBLIC WAY, ,LO,0,0,548,6,2-06,2-06,0, ,225.781759116927,['2-06']
1436,EDGER1, ,167,Edgerly Pl,EDGERLY PL,1,PRIVATE WAY, ,LO,0,0,167,2,1-1C,1-1C,1, ,69.0170239579509,['1-1C']
1437,EDGER2, ,1139,Edgerly Rd,EDGERLY RD,1,PUBLIC WAY, ,LO,0,0,1139,7,1-10A,1-10A,1, ,470.450744016388,['1-10A']
1438,EDGEW1, ,1655,Edgewater Dr,EDGEWATER DR,1,PUBLIC WAY, ,CO,0,0,1655,4,2-08,2-08,0, ,682.459945316367,['2-08']
1439,EDGEW2, ,1151,Edgewood St,EDGEWOOD ST,1,PUBLIC WAY, ,LO,0,0,1151,7,"1-10B, 3-03","1-10B, 3-03",0, ,474.19765721105995,"['1-10B', ' 3-03']"
1440,EDGEW3, ,1186,Edgeway Ter,EDGEWAY TER,1,PUBLIC WAY, ,LO,0,0,1186,5,2-08,2-08,0, ,489.315119773075,['2-08']
1441,EDGEW4, ,99,Edgewood Park,EDGEWOOD PARK,1,PRIVATE WAY, ,LO,0,0,99,7,1-10B,1-10B,0, ,41.053640819482005,['1-10B']
1442,EDINB1, ,519,Edinboro St,EDINBORO ST,1,PUBLIC WAY, ,LO,0,0,519,2,1-1C,1-1C,1, ,214.66265025459802,['1-1C']
1443,EDISO1, ,693,Edison Grn,EDISON GREEN N,1,PUBLIC WAY, ,LO,0,0,693,2,3-03,3-03,1, ,285.40520654705,['3-03']
1444,EDISO2, ,567,Edison Grn,EDISON GREEN S,1,PUBLIC WAY, ,LO,0,0,567,3,3-03,3-03,1, ,233.220365488131,['3-03']
1445,EDITH1, ,283,Edith St,EDITH ST,1,PUBLIC WAY, ,LO,0,0,283,5,2-08,2-08,1, ,116.557360188391,['2-08']
1446,EDNA 1, ,371,Edna Rd,EDNA RD,1,PUBLIC WAY, ,LO,0,0,371,3,3-07,3-07,0, ,152.49073334353702,['3-07']
1447,EDSON1, ,1236,Edson St,EDSON ST DO,1,PUBLIC WAY, ,LO,0,0,1236,4,3-07,3-07,1, ,510.255079823499,['3-07']
1448,EDSON2, ,656,Edson St,EDSON ST HP,1,PUBLIC WAY, ,LO,0,0,656,5,2-08,2-08,0, ,270.635981582286,['2-08']
1449,EDSON3, ,110,Edson Ter,EDSON TER,1,PRIVATE WAY, ,LO,0,0,110,5,2-08,2-08,0, ,45.108594960481994,['2-08']
1450,EDWAR1, ,496,Edwardson St,EDWARDSON ST,1,PUBLIC WAY, ,LO,0,0,496,5,2-08,2-08,0, ,204.217347535709,['2-08']
1451,EDWAR2, ,178,Edward Everett Sq,EDWARD EVERETT SQ,1,PUBLIC WAY, ,LO,0,0,178,2,3-03,3-03,1, ,73.53351116145491,['3-03']
1452,EDWIN1, ,1225,Edwin St,EDWIN ST,1,PUBLIC WAY, ,LO,0,0,1225,3,3-07,3-07,1, ,504.338056850756,['3-07']
1453,EGAN 1, ,169,Egan Way,EGAN WAY,1,PUBLIC WAY, ,LO,0,0,169,9,2-04,2-04,0, ,69.4466260483497,['2-04']
1454,EGLES1, ,502,Egleston St,EGLESTON ST,1,PUBLIC WAY, ,LO,0,0,502,6,2-02,2-02,1, ,207.00112689244202,['2-02']
1455,EGREM1, ,1257,Egremont Rd,EGREMONT RD,1,PUBLIC WAY, ,LO,0,0,1257,9,2-04,2-04,0, ,518.396295744824,['2-04']
1456,EIGHT1, ,1110,Eighth St,EIGHTH ST,1,PUBLIC WAY, ,LO,0,0,1110,1,1-1A,1-1A,0,04-30-22-MODIFIED GEOMETRY,458.102011643276,['1-1A']
1457,EILEE1, ,252,Eileen Cir,EILEEN CIR,1,PRIVATE WAY, ,LO,0,0,252,8,1-10A,1-10A,1, ,103.952806151418,['1-10A']
1458,ELBA 1, ,136,Elba Ter,ELBA TER,1,PRIVATE WAY, ,LO,0,0,136,3,3-03,3-03,0, ,56.051024455896204,['3-03']
1459,ELBER1, ,396,Elbert St,ELBERT ST,1,PUBLIC WAY, ,LO,0,0,396,7,1-10B,1-10B,1, ,162.91236952091802,['1-10B']
1460,ELBOW1, ,278,Elbow St,ELBOW ST,1,PRIVATE WAY, ,LO,0,0,278,1,1-09,1-09,0, ,114.448418187616,['1-09']
1461,ELDER1, ,872,Elder St,ELDER ST,1,PUBLIC WAY, ,LO,0,0,872,7,3-03,3-03,1, ,358.97229359235297,['3-03']
1462,ELDON1, ,609,Eldon St,ELDON ST DO,1,PUBLIC WAY, ,LO,0,0,609,4,3-03,3-03,0, ,251.345179466461,['3-03']
1463,ELDON2, ,402,Eldon St,ELDON ST WR,1,PRIVATE WAY, ,LO,0,0,402,5,2-06,2-06,0, ,165.520145070692,['2-06']
1464,ELDOR1, ,458,Eldora St,ELDORA ST,1,PUBLIC WAY, ,LO,0,0,458,8,1-10A,1-10A,1, ,188.74660680054902,['1-10A']
1465,ELDRI1, ,1004,Eldridge Rd,ELDRIDGE RD,1,PUBLIC WAY, ,CO,0,0,1004,6,2-02,2-02,0, ,413.325284612529,['2-02']
1466,ELEAN1, ,178,Eleanor St,ELEANOR ST,1,PUBLIC WAY, ,LO,0,0,178,9,2-04,2-04,0, ,73.5741056003384,['2-04']
1467,ELECT1, ,993,Electric Ave,ELECTRIC AV,1,PUBLIC WAY, ,LO,0,0,993,9,2-04,2-04,1, ,409.379171925251,['2-04']
1468,ELENE1, ,177,Elene St,ELENE ST,1,PUBLIC WAY, ,LO,0,0,177,5,3-07,3-07,0, ,73.05277512961909,['3-07']
1469,ELGIN1, ,621,Elgin St,ELGIN ST,1,PUBLIC WAY, ,LO,0,0,621,6,2-06,2-06,0, ,256.126565418727,['2-06']
1470,ELIOT1, ,1861,Eliot St,ELIOT ST,1,PUBLIC WAY, ,LO,0,0,1861,6,2-02,2-02,1, ,767.5644794485839,['2-02']
1471,ELIOT2, ,174,Eliot Pl,ELIOT PL WR,1,PRIVATE WAY, ,LO,0,0,174,6,2-02,2-02,1, ,71.6017932826295,['2-02']
1472,ELIOT3, ,121,Eliot Ter,ELIOT TER,1,PRIVATE WAY, ,LO,0,0,121,7,1-10B,1-10B,1, ,49.818390784636,['1-10B']
1473,ELIZA1, ,630,Elizabeth St,ELIZABETH ST,1,PUBLIC WAY, ,LO,0,0,630,4,3-07,3-07,0, ,259.320487559527,['3-07']
1474,ELKIN1, ,551,Elkins St,ELKINS ST,1,PRIVATE WAY, ,LO,0,0,551,2,3-05,3-05,0, ,226.700852480663,['3-05']
1475,ELKO 1, ,534,Elko St,ELKO ST,1,PUBLIC WAY, ,LO,0,0,534,9,2-04,2-04,0, ,220.58922569070702,['2-04']
1476,ELLAR1, ,499,Ellard Rd,ELLARD RD,1,PUBLIC WAY, ,LO,0,0,499,5,2-08,2-08,0, ,205.405973524394,['2-08']
1477,ELLER1, ,997,Ellery St,ELLERY ST,1,PUBLIC WAY, ,AR,0,0,997,2,3-05,3-05,1, ,411.927031229106,['3-05']
1478,ELLER2, ,207,Ellerton Rd,ELLERTON RD,1,PRIVATE WAY, ,LO,0,0,207,6,2-06,2-06,0, ,85.31428528622479,['2-06']
1479,ELLER3, ,173,Ellery Ct,ELLERY CT,1,PRIVATE WAY, ,LO,0,0,173,2,3-05,3-05,1, ,71.09022902575609,['3-05']
1480,ELLET1, ,109,Ellet St,ELLET ST,1,PUBLIC WAY, ,LO,0,0,109,3,3-03,3-03,0, ,44.7330015127028,['3-03']
1481,ELLIN1, ,1953,Ellington St,ELLINGTON ST,1,PUBLIC WAY, ,LO,0,0,1953,4,3-03,3-03,0, ,804.6550412328739,['3-03']
1482,ELLIN3, ,667,Ellingwood St,ELLINGWOOD ST,1,PUBLIC WAY, ,LO,0,0,667,8,1-10A,1-10A,1, ,275.05162701762197,['1-10A']
1483,ELLIS1, ,440,Ellis St,ELLIS ST RX,1,PUBLIC WAY, ,LO,0,0,440,7,1-10B,1-10B,0, ,181.579945963504,['1-10B']
1484,ELLIS2, ,414,Ellis St,ELLIS ST HP,1,PUBLIC WAY, ,LO,0,0,414,5,2-08,2-08,1, ,170.362355029649,['2-08']
1485,ELLIS3, ,955,Ellison Ave,ELLISON AV,1,PUBLIC WAY, ,LO,0,0,955,3,3-07,3-07,0, ,394.27063932560304,['3-07']
1486,ELLSW1, ,336,Ellswood St,ELLSWOOD ST,1,PUBLIC WAY, ,LO,0,0,336,6,2-06,2-06,0, ,138.069609199707,['2-06']
1487,ELLSW2, ,447,Ellsworth St,ELLSWORTH ST,1,PUBLIC WAY, ,LO,0,0,447,3,3-03,3-03,0, ,183.886114779607,['3-03']
1488,ELLWO1, ,213,Ellwood St,ELLWOOD ST,1,PUBLIC WAY, ,LO,0,0,288,1,1-1A,1-1A,1,04-30-22-MODIFED LENGTH,87.9787126857468,['1-1A']
1489,ELM (1, ,627,Elm St,ELM ST HP,1,PUBLIC WAY, ,LO,0,0,627,5,2-08,2-08,0, ,258.316993830618,['2-08']
1490,ELM H1, ,2549,Elm Hill Ave,ELM HILL AV,1,PUBLIC WAY, ,AR,0,0,2549,7,1-10B,1-10B,0, ,1051.5677989268302,['1-10B']
1491,ELM H2, ,838,Elm Hill Park,ELM HILL PK,1,PUBLIC WAY, ,LO,0,0,838,7,1-10B,1-10B,1, ,345.059937204987,['1-10B']
1492,ELM H3, ,688,Elm Hill Ent,ELM HILL ENT,1,PUBLIC WAY, ,LO,0,0,688,7,"1-10B, 2-02","1-10B, 2-02",1, ,283.293347909166,"['1-10B', ' 2-02']"
1493,ELM L1, ,251,Elm Lawn St,ELM LAWN ST,1,PUBLIC WAY, ,LO,0,0,251,3,3-07,3-07,1, ,103.446895101569,['3-07']
1494,ELM S1, ,771,Elm St,ELM ST DO,1,PUBLIC WAY, ,LO,0,0,771,3,3-07,3-07,1, ,317.917660132416,['3-07']
1495,ELM S2, ,1400,Elm St,ELM ST JP,1,PUBLIC WAY, ,LO,0,0,1400,6,2-02,2-02,0, ,577.46975432543,['2-02']
1496,ELM S3, ,1599,Elm St,ELM ST CH,1,PUBLIC WAY, ,LO,0,0,1599,1,1-1A,1-1A,0, ,660.634895689558,['1-1A']
1497,ELMDA1, ,599,Elmdale St,ELMDALE ST,1,PUBLIC WAY, ,LO,0,0,599,3,3-07,3-07,0, ,247.214878152927,['3-07']
1498,ELMER1, ,2001,Elmer Rd,ELMER RD,1,PUBLIC WAY, ,CO,0,0,2001,3,3-07,3-07,1, ,823.72656115053,['3-07']
1499,ELMHU1, ,542,Elmhurst St,ELMHURST ST,1,PUBLIC WAY, ,LO,0,0,542,4,3-07,3-07,0, ,223.92983553231002,['3-07']
1500,ELMIR1, ,1178,Elmira St,ELMIRA ST,1,PUBLIC WAY, ,LO,0,0,1178,9,2-04,2-04,0, ,485.251196470238,['2-04']
1501,ELMON1, ,797,Elmont St,ELMONT ST,1,PUBLIC WAY, ,LO,0,0,797,4,3-03,3-03,1, ,329.034096864366,['3-03']
1502,ELMOR1, ,980,Elmore St,ELMORE ST,1,PUBLIC WAY, ,LO,0,0,980,7,1-10B,1-10B,0, ,404.35765102616,['1-10B']
1503,ELMWO1, ,430,Elmwood St,ELMWOOD ST,1,PUBLIC WAY, ,LO,0,0,430,7,1-10B,1-10B,1, ,177.55781123824403,['1-10B']
1504,ELMWO2, ,86,Elmwood Ct,ELMWOOD CT,1,PRIVATE WAY, ,LO,0,0,86,7,1-10B,1-10B,1, ,35.6044175945703,['1-10B']
1505,ELTON1, ,542,Elton St,ELTON ST,1,PUBLIC WAY, ,LO,0,0,542,3,3-03,3-03,0, ,222.98306748219503,['3-03']
1506,ELVEN1, ,354,Elven Rd,ELVEN RD,1,PUBLIC WAY, ,LO,0,0,354,5,2-02,2-02,0, ,145.690083102408,['2-02']
1507,ELWEL1, ,330,Elwell Rd,ELWELL RD,1,PUBLIC WAY, ,LO,0,0,330,6,2-02,2-02,0, ,136.21871826196002,['2-02']
1508,ELWYN1, ,268,Elwyn Rd,ELWYN RD,1,PUBLIC WAY, ,LO,0,0,268,4,"3-03, 3-07","3-03, 3-07",1, ,110.75579572969299,"['3-03', ' 3-07']"
1509,ELY R1, ,530,Ely Rd,ELY RD,1,PUBLIC WAY, ,LO,0,0,530,3,3-07,3-07,0, ,218.085705506541,['3-07']
1510,EMBAS1, ,655,Embassy Rd,EMBASSY RD,1,PUBLIC WAY, ,LO,0,0,655,9,2-04,2-04,0, ,269.906860766701,['2-04']
1511,EMELI1, ,253,Emelia Ter,EMELIA TER,1,PUBLIC WAY, ,LO,0,0,253,6,2-06,2-06,1, ,104.352729573688,['2-06']
1512,EMERA1, ,541,Emerald Ct,EMERALD CT,1,PUBLIC WAY, ,LO,0,0,541,2,1-1C,1-1C,0, ,223.048758457773,['1-1C']
