,case_enquiry_id,open_dt,target_dt,closed_dt,ontime,case_status,closure_reason,case_title,subject,reason,type,location,location_street_name,location_zipcode,latitude,longitude,source
7893,101004637579,2023-01-20 12:19:00,2023-01-23 12:19:58,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),47 Waltham St  Roxbury  MA  02118,47 Waltham St,2118.0,42.3422,-71.0692,Citizens Connect App
7913,101004637472,2023-01-20 11:20:00,2023-01-23 11:20:43,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),23 Greenwood Ave  Hyde Park  MA  02136,23 Greenwood Ave,2136.0,42.265,-71.119,Citizens Connect App
8001,101004638618,2023-01-21 12:12:00,2023-01-24 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),1 Wellington St  Roxbury  MA  02118,1 Wellington St,2118.0,42.3415,-71.0814,Citizens Connect App
8319,101004642455,2023-01-25 00:39:00,2023-01-27 00:40:03,,OVERDUE,Open, ,Unshoveled Sidewalk,Public Works Department,Code Enforcement,Unshoveled Sidewalk,INTERSECTION of Woolsey Sq & Green St  Jamaica Plain  MA  ,INTERSECTION Woolsey Sq & Green St,,42.3594,-71.0587,Citizens Connect App
8323,101004642492,2023-01-25 06:35:00,2023-01-26 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),412 Talbot Ave  Dorchester  MA  02124,412 Talbot Ave,2124.0,42.29,-71.0693,Citizens Connect App
8515,101004644843,2023-01-26 15:50:00,2023-01-27 15:50:05,,OVERDUE,Open, ,BREAK OUT,Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),774 Hyde Park Ave  Hyde Park  MA  02136,774 Hyde Park Ave,2136.0,42.2736,-71.1198,Constituent Call
8528,101004645008,2023-01-26 17:36:00,2023-01-30 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),20 Stella Rd  Roslindale  MA  02131,20 Stella Rd,2131.0,42.2814,-71.1173,Citizens Connect App
8565,101004645345,2023-01-27 07:12:00,2023-01-30 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),45 Homes Ave  Dorchester  MA  02122,45 Homes Ave,2122.0,42.3027,-71.0695,Constituent Call
8595,101004645664,2023-01-27 09:56:00,2023-01-30 09:56:27,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of E Newton St & Washington St  Roxbury  MA  ,INTERSECTION E Newton St & Washington St,,42.3594,-71.0587,Citizens Connect App
8632,101004646140,2023-01-27 14:10:00,2023-01-30 14:10:49,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),376 Savin Hill Ave  Dorchester  MA  02125,376 Savin Hill Ave,2125.0,42.3125,-71.0514,Constituent Call
8649,101004646396,2023-01-27 16:48:00,2023-01-30 16:48:14,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),5 Payson Ave  Dorchester  MA  02125,5 Payson Ave,2125.0,42.3145,-71.0661,Citizens Connect App
8690,101004647025,2023-01-28 11:27:00,2023-01-31 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Pelham St & Shawmut Ave  Roxbury  MA  ,INTERSECTION Pelham St & Shawmut Ave,,42.3594,-71.0587,Citizens Connect App
8702,101004647186,2023-01-28 13:33:00,2023-01-31 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),106 Elmer Rd  Dorchester  MA  02124,106 Elmer Rd,2124.0,42.287,-71.0569,Constituent Call
8727,101004647442,2023-01-28 17:41:00,2023-01-31 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),9 W Tremlett St  Dorchester  MA  02124,9 W Tremlett St,2124.0,42.2946,-71.0725,Citizens Connect App
8728,101004647443,2023-01-28 17:43:00,2023-01-31 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),40 W Tremlett St  Dorchester  MA  02124,40 W Tremlett St,2124.0,42.294,-71.0739,Citizens Connect App
8755,101004647763,2023-01-29 10:18:00,2023-01-31 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),972-974 Blue Hill Ave  Dorchester  MA  02124,972-974 Blue Hill Ave,2124.0,42.2906,-71.0889,Citizens Connect App
8976,101004650265,2023-01-31 09:02:00,2023-02-01 09:03:09,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),6 Faneuil Hall Sq  Boston  MA  02109,6 Faneuil Hall Sq,2109.0,42.3602,-71.0567,Citizens Connect App
8977,101004650201,2023-01-31 08:30:00,2023-02-01 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Church Ct & Dexter Row  Charlestown  MA  ,INTERSECTION Church Ct & Dexter Row,,42.3594,-71.0587,Citizens Connect App
8990,101004650357,2023-01-31 10:06:00,2023-02-01 10:06:44,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),24 Clinton St  Boston  MA  02109,24 Clinton St,2109.0,42.3609,-71.0547,Citizens Connect App
9284,101004654371,2023-02-03 13:50:00,2023-02-06 13:50:13,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Waltham St & Tremont St  Boston  MA  ,INTERSECTION Waltham St & Tremont St,,42.3594,-71.0587,Constituent Call
9542,101004658210,2023-02-06 12:42:00,2023-02-07 12:42:53,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),33-41 West St  Boston  MA  02111,33-41 West St,2111.0,42.355,-71.0625,Citizens Connect App
9713,101004660618,2023-02-08 07:31:00,2023-02-09 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),160 William J Day Blvd  South Boston  MA  02127,160 William J Day Blvd,2127.0,42.3269,-71.0487,Citizens Connect App
9801,101004661633,2023-02-08 16:47:00,2023-02-09 16:47:20,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),295 Tremont St  Boston  MA  02116,295 Tremont St,2116.0,42.3493,-71.0661,Citizens Connect App
9822,101004661848,2023-02-08 20:25:00,2023-02-10 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),31 Savin Hill Ave  Dorchester  MA  02125,31 Savin Hill Ave,2125.0,42.3128,-71.0577,Citizens Connect App
9865,101004662434,2023-02-09 11:51:00,2023-02-10 11:51:10,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),96 Waltham St  Roxbury  MA  02118,96 Waltham St,2118.0,42.3435,-71.0712,Citizens Connect App
9990,101004621121,2023-01-05 17:41:00,2023-01-09 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),215 Forest Hills St  Jamaica Plain  MA  02130,215 Forest Hills St,2130.0,42.3051,-71.1035,Citizens Connect App
10079,101004622942,2023-01-07 13:29:00,2023-01-10 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),445 Shawmut Ave  Roxbury  MA  02118,445 Shawmut Ave,2118.0,42.3395,-71.075,Citizens Connect App
10119,101004664650,2023-02-11 10:27:00,2023-02-14 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),68 Green St  Jamaica Plain  MA  02130,68 Green St,2130.0,42.312,-71.1101,Constituent Call
10173,101004664418,2023-02-10 22:10:00,2023-02-14 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Columbus Sq & Warren Ave  Boston  MA  ,INTERSECTION Columbus Sq & Warren Ave,,42.3594,-71.0587,Citizens Connect App
10356,101004667470,2023-02-14 09:13:00,2023-02-15 09:13:25,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),219 W Canton St  Boston  MA  02116,219 W Canton St,2116.0,42.3454,-71.0771,Citizens Connect App
10491,101004668949,2023-02-15 10:43:22,2023-03-02 10:43:28,,OVERDUE,Open, ,Missing Sign,Transportation - Traffic Division,Signs & Signals,Missing Sign,2505-2525 Washington St  Roxbury  MA  02119,2505-2525 Washington St,2119.0,42.3594,-71.0587,City Worker App
10510,101004669555,2023-02-15 17:29:00,2023-02-17 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),14 Culbert St  Mattapan  MA  02126,14 Culbert St,2126.0,42.2739,-71.0952,Citizens Connect App
10632,101004668543,2023-02-15 07:09:00,2023-02-16 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),553 Huntington Ave  Boston  MA  02115,553 Huntington Ave,2115.0,42.3371,-71.0977,Citizens Connect App
10643,101004668768,2023-02-15 09:29:00,2023-02-16 09:29:15,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),500 Soldiers Field Rd  Allston  MA  02134,500 Soldiers Field Rd,2134.0,42.3628,-71.1185,Citizens Connect App
10699,101004679960,2023-02-16 08:16:00,2023-02-17 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),754 South St  Roslindale  MA  02131,754 South St,2131.0,42.287,-71.1295,Citizens Connect App
10865,101004681552,2023-02-17 09:57:00,2023-02-21 09:57:57,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Chatham St & Chatham Row  Boston  MA  ,INTERSECTION Chatham St & Chatham Row,,42.3594,-71.0587,Citizens Connect App
11061,101004686527,2023-02-22 18:13:00,2023-02-24 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Summer St & Dorchester Ave  Boston  MA  ,INTERSECTION Summer St & Dorchester Ave,,42.3594,-71.0587,Constituent Call
11176,101004689499,2023-02-25 14:21:00,2023-02-28 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),3928 Washington St  Roslindale  MA  02131,3928 Washington St,2131.0,42.2943,-71.1194,Citizens Connect App
11317,101004687343,2023-02-23 14:24:00,2023-02-24 14:24:31,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Nonantum Rd & N Beacon St  Brighton  MA  ,INTERSECTION Nonantum Rd & N Beacon St,,42.3594,-71.0587,Citizens Connect App
11475,101004691101,2023-02-27 13:21:00,2023-02-28 13:21:04,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),238 Cambridge St  Boston  MA  02114,238 Cambridge St,2114.0,42.3594,-71.0587,Citizens Connect App
11656,101004693001,2023-03-01 09:31:00,2023-03-02 09:31:46,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of W Brookline St & Tremont St  Roxbury  MA  ,INTERSECTION W Brookline St & Tremont St,,42.3594,-71.0587,Citizens Connect App
11669,101004693325,2023-03-01 12:32:00,2023-03-02 12:32:18,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Percival St & Bowdoin St  Dorchester  MA  ,INTERSECTION Percival St & Bowdoin St,,42.3594,-71.0587,Constituent Call
11748,101004694724,2023-03-02 14:17:00,2023-03-03 14:17:32,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),515 Massachusetts Ave  Roxbury  MA  02118,515 Massachusetts Ave,2118.0,42.3389,-71.0803,Constituent Call
11777,101004695934,2023-03-03 13:23:00,2023-03-06 13:23:57,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),59 Warren St  Charlestown  MA  02129,59 Warren St,2129.0,42.374,-71.0619,Citizens Connect App
12020,101004697903,2023-03-06 08:30:00,2023-03-07 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),6 Faneuil Hall Sq  Boston  MA  02109,6 Faneuil Hall Sq,2109.0,42.3602,-71.0567,Citizens Connect App
12060,101004698628,2023-03-06 14:22:00,2023-03-07 14:22:13,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),18 Hanson St  Roxbury  MA  02118,18 Hanson St,2118.0,42.3436,-71.0702,Citizens Connect App
12079,101004698966,2023-03-06 18:00:00,2023-03-08 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),749 E Fifth St  South Boston  MA  02127,749 E Fifth St,2127.0,42.3339,-71.0302,Constituent Call
12143,101004700339,2023-03-07 18:41:00,2023-03-22 08:30:00,,ONTIME,Open, ,Missing Sign,Transportation - Traffic Division,Signs & Signals,Missing Sign,60 State St  Boston  MA  02109,60 State St,2109.0,42.3593,-71.0564,Constituent Call
12184,101004711226,2023-03-08 13:20:00,2023-03-09 13:20:42,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),75 Paris St  East Boston  MA  02128,75 Paris St,2128.0,42.3714,-71.0385,Citizens Connect App
12209,101004711647,2023-03-08 19:40:00,2023-03-10 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),1420 Tremont St  Mission Hill  MA  02120,1420 Tremont St,2120.0,42.3314,-71.096,Citizens Connect App
12220,101004711730,2023-03-08 22:05:00,2023-03-23 08:30:00,,ONTIME,Open, ,Missing Sign,Transportation - Traffic Division,Signs & Signals,Missing Sign,INTERSECTION of Cambridge St & Thor Ter  Allston  MA  ,INTERSECTION Cambridge St & Thor Ter,,42.3594,-71.0587,Constituent Call
12302,101004722857,2023-03-09 18:51:00,2023-03-13 08:30:00,,ONTIME,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),267 Shawmut Ave  Roxbury  MA  02118,267 Shawmut Ave,2118.0,42.3432,-71.0691,Citizens Connect App
12329,101004723137,2023-03-10 08:00:00,2023-03-13 08:30:00,,ONTIME,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),689-695 Huntington Ave  Boston  MA  02115,689-695 Huntington Ave,2115.0,42.3353,-71.1031,Citizens Connect App
12578,101004711560,2023-03-08 17:44:00,2023-03-10 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),281 Park St  West Roxbury  MA  02132,281 Park St,2132.0,42.2806,-71.1486,Citizens Connect App
12638,101004616047,2023-01-01 14:02:00,2023-01-04 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),211 W Springfield St  Roxbury  MA  02118,211 W Springfield St,2118.0,42.3406,-71.0803,Citizens Connect App
12641,101004616074,2023-01-01 14:39:00,2023-01-04 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Brent St & Talbot Ave  Dorchester  MA  ,INTERSECTION Brent St & Talbot Ave,,42.3594,-71.0587,Citizens Connect App
12795,101004617243,2023-01-03 08:03:00,2023-01-04 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Claremont Park & Columbus Ave  Roxbury  MA  ,INTERSECTION Claremont Park & Columbus Ave,,42.3594,-71.0587,Citizens Connect App
12867,101004619186,2023-01-04 11:38:00,2023-01-05 11:38:38,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Rutland St & Shawmut Ave  Roxbury  MA  ,INTERSECTION Rutland St & Shawmut Ave,,42.3594,-71.0587,Citizens Connect App
12958,101004621133,2023-01-05 17:46:00,2023-01-09 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),756-762 Adams St  Dorchester  MA  02122,756-762 Adams St,2122.0,42.2837,-71.0554,Citizens Connect App
12960,101004621170,2023-01-05 18:20:00,2023-01-09 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),36 Pleasantview St  Roslindale  MA  02131,36 Pleasantview St,2131.0,42.2741,-71.1108,Constituent Call
13047,101004622403,2023-01-06 19:50:00,2023-01-10 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Hubbardston Rd & Savin Hill Ave  Dorchester  MA  ,INTERSECTION Hubbardston Rd & Savin Hill Ave,,42.3594,-71.0587,Citizens Connect App
13091,101004623092,2023-01-07 16:01:00,2023-01-10 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),340 Park St  Dorchester  MA  02124,340 Park St,2124.0,42.2965,-71.0677,Citizens Connect App
13452,101004627307,2023-01-11 11:29:00,2023-01-12 11:29:10,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),17 Dartmouth St  Roxbury  MA  02118,17 Dartmouth St,2118.0,42.3435,-71.0739,Constituent Call
13496,101004627892,2023-01-11 17:21:00,2023-01-13 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),302 Sumner St  East Boston  MA  02128,302 Sumner St,2128.0,42.3677,-71.0366,Citizens Connect App
13539,101004628286,2023-01-12 08:36:00,2023-01-27 08:36:49,,OVERDUE,Open, ,Missing Sign,Transportation - Traffic Division,Signs & Signals,Missing Sign,INTERSECTION of Centre St & West Roxbury Pkwy  Roslindale  MA  ,INTERSECTION Centre St & West Roxbury Pkwy,,42.3594,-71.0587,Constituent Call
13627,101004629511,2023-01-13 08:31:57,2024-01-13 08:31:57,,ONTIME,Open, ,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,103 Hooker St  Allston  MA  02134,103 Hooker St,2134.0,42.3592,-71.1259,Constituent Call
13749,101004631490,2023-01-15 12:36:00,2023-01-18 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),25 Clarendon St  Boston  MA  02116,25 Clarendon St,2116.0,42.3448,-71.0721,Citizens Connect App
13879,101004633244,2023-01-17 12:47:00,2023-01-18 12:47:12,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Temple St & Derne St  Boston  MA  ,INTERSECTION Temple St & Derne St,,42.3594,-71.0587,Citizens Connect App
13976,101004634503,2023-01-18 10:46:00,2023-01-19 10:46:35,,OVERDUE,Open, ,Sidewalk (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),451 W Fourth St  South Boston  MA  02127,451 W Fourth St,2127.0,42.3352,-71.0474,City Worker App
14163,101004637044,2023-01-20 07:37:00,2023-01-23 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of E Newton St & Harrison Ave  Roxbury  MA  ,INTERSECTION E Newton St & Harrison Ave,,42.3594,-71.0587,Citizens Connect App
14187,101004637334,2023-01-20 10:14:00,2023-01-23 10:14:36,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),11 Radford Ln  Dorchester  MA  02124,11 Radford Ln,2124.0,42.2842,-71.0617,Citizens Connect App
14349,101004639549,2023-01-22 16:54:00,2023-01-24 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),12 Kenney St  Jamaica Plain  MA  02130,12 Kenney St,2130.0,42.3246,-71.1097,Citizens Connect App
14434,101004640761,2023-01-23 16:53:00,2023-01-24 16:53:57,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),36 Vogel St  West Roxbury  MA  02132,36 Vogel St,2132.0,42.2649,-71.1645,Citizens Connect App
14514,101004641705,2023-01-24 12:10:00,2023-01-25 12:11:15,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),60 Florida St  Dorchester  MA  02124,60 Florida St,2124.0,42.29,-71.0591,Citizens Connect App
14546,101004642155,2023-01-24 17:09:00,2023-01-26 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Erie St & Greenwood St  Dorchester  MA  ,INTERSECTION Erie St & Greenwood St,,42.3594,-71.0587,Citizens Connect App
14552,101004642290,2023-01-24 18:51:00,2023-01-26 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),28 Perthshire Rd  Brighton  MA  02135,28 Perthshire Rd,2135.0,42.3534,-71.1666,Citizens Connect App
14711,101004644343,2023-01-26 10:58:00,2023-01-27 10:58:30,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),12 Church St  Boston  MA  02116,12 Church St,2116.0,42.3485,-71.0679,Citizens Connect App
14721,101004644481,2023-01-26 12:18:00,2023-01-27 12:18:25,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Laurie Ave & Baker St  West Roxbury  MA  ,INTERSECTION Laurie Ave & Baker St,,42.3594,-71.0587,Citizens Connect App
14974,101004647404,2023-01-28 16:48:00,2023-01-31 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),10 Ashland St  Dorchester  MA  02122,10 Ashland St,2122.0,42.3006,-71.0536,Citizens Connect App
14978,101004647423,2023-01-28 17:20:00,2023-01-31 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Athelwold St & Thane St  Dorchester  MA  ,INTERSECTION Athelwold St & Thane St,,42.3594,-71.0587,Citizens Connect App
15030,101004647859,2023-01-29 11:28:00,2023-01-31 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),929A Blue Hill Ave  Dorchester  MA  02124,929A Blue Hill Ave,2124.0,42.2927,-71.0891,Citizens Connect App
15062,101004648213,2023-01-29 17:00:00,2023-01-31 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),11A Irving St  Boston  MA  02114,11A Irving St,2114.0,42.3607,-71.0665,Citizens Connect App
15109,101004648665,2023-01-30 08:58:00,2023-01-31 08:58:08,,OVERDUE,Open,Case Closed. Closed date : Mon Feb 06 08:39:37 EST 2023 Resolved Pothole filled  ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),1 Charles St  Dorchester  MA  02122,1 Charles St,2122.0,42.3009,-71.0603,Citizens Connect App
15142,101004649050,2023-01-30 11:40:00,2023-01-31 11:40:53,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),27 Calder St  Dorchester  MA  02124,27 Calder St,2124.0,42.2974,-71.0881,Citizens Connect App
15239,101004650156,2023-01-31 08:10:00,2023-02-01 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),295 Tremont St  Boston  MA  02116,295 Tremont St,2116.0,42.3493,-71.0661,Citizens Connect App
15275,101004650520,2023-01-31 11:33:00,2023-02-01 11:33:54,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Fairland St & Winthrop St  Roxbury  MA  ,INTERSECTION Fairland St & Winthrop St,,42.3594,-71.0587,Citizens Connect App
15392,101004651776,2023-02-01 10:19:00,2023-02-02 10:19:45,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),97 Chestnut St  Boston  MA  02108,97 Chestnut St,2108.0,42.3567,-71.072,Citizens Connect App
15595,101004654429,2023-02-03 14:17:00,2023-02-06 14:17:49,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),407 Seaver St  Dorchester  MA  02121,407 Seaver St,2121.0,42.3033,-71.0814,Constituent Call
15650,101004655286,2023-02-04 12:37:00,2023-02-07 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Anson St & South St  Jamaica Plain  MA  ,INTERSECTION Anson St & South St,,42.3594,-71.0587,Citizens Connect App
15876,101004658353,2023-02-06 13:49:00,2023-02-07 13:49:12,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Hurds Ln & Harvard Sq  Charlestown  MA  ,INTERSECTION Hurds Ln & Harvard Sq,,42.3594,-71.0587,Constituent Call
