FID,PARENT,STATUS,LENGTH,GREENBOOK,HIGHWAY,GIS,JURISDICTI,QC_NOTE,FUN_CLASS,GRID,MIN_STATIO,MAX_STATIO,COUNCIL,DISTRICT1,District,NO_LABEL,RTE_SYS_ED,Shape__Length
629,FAUNC1, ,1122,Faunce Rd,FAUNCE RD,1,PUBLIC WAY, ,LO,0,0,1122,4,3-07,3-07,0, ,462.378774407499
630,FAVRE1, ,1280,Favre St,FAVRE ST,1,PUBLIC WAY, ,LO,0,0,1280,5,"2-08, 3-07","2-08, 3-07",0, ,527.644194384426
631,FAWND1, ,1230,Fawndale Rd,FAWNDALE RD,1,PUBLIC WAY, ,LO,0,0,1230,5,2-02,2-02,0, ,506.864307384003
632,FAXON1, ,133,Faxon St,FAXON ST,1,PRIVATE WAY, ,LO,0,0,133,8,1-10A,1-10A,1, ,55.0457213234193
633,FAY S1, ,361,Fay St,FAY ST,1,PUBLIC WAY, ,LO,0,0,361,2,1-1C,1-1C,0, ,148.910518473983
634,FAYET1, ,784,Fayette St,FAYETTE ST,1,PUBLIC WAY, ,LO,0,0,784,2,1-1C,1-1C,1, ,323.421376308299
635,FAYST1, ,1314,Fayston St,FAYSTON ST,1,PUBLIC WAY, ,LO,0,0,1314,7,3-03,3-03,0, ,541.211202033266
636,FAYWO1, ,3246,Faywood Ave,FAYWOOD AV,1,PUBLIC WAY, ,LO,0,0,3246,1,1-09,1-09,0, ,1338.36927907149
637,FEDER1, ,1153,Federal St,FEDERAL ST,1,PUBLIC WAY, ,LO,0,0,1153,1,1-1C,1-1C,1, ,476.650295439736
638,FEDER2, ,231,Federal Ct,FEDERAL CT,1,PRIVATE WAY, ,LO,0,0,231,1,1-1C,1-1C,0, ,95.300490104972
639,FEENO1, ,261,Fenno St,FENNO ST,1,PUBLIC WAY, ,LO,0,0,261,7,1-10B,1-10B,1, ,107.496744288172
640,FELIX1, ,82,Felix Pl,FELIX PL,1,PRIVATE WAY, ,LO,0,0,82,7,3-03,3-03,0, ,33.6324280929741
641,FELLO1, ,676,Fellows St,FELLOWS ST,1,PUBLIC WAY, ,LO,0,0,676,7,1-10B,1-10B,0, ,278.830640087466
642,FELLS1, ,474,Fellsway St,FELLSWAY ST,1,PRIVATE WAY, ,LO,0,0,474,3,3-07,3-07,0, ,195.40272012986
643,FENCO1, ,238,Fencourt St,FENCOURT ST,1,PRIVATE WAY, ,LO,0,0,238,8,1-10A,1-10A,0, ,98.0562233889853
644,FENDA1, ,744,Fendale Ave,FENDALE AV,1,PUBLIC WAY, ,LO,0,0,744,3,3-07,3-07,1, ,305.997436251731
645,FENEL1, ,354,Fenelon St,FENELON ST,1,PUBLIC WAY, ,LO,0,0,354,4,3-03,3-03,0, ,145.942017087204
646,FENEN1, ,121,Feneno Ter,FENENO TER,1,PUBLIC WAY, ,LO,0,0,121,9,2-04,2-04,0, ,49.9793443118707
647,FENSM1, ,496,Fensmere Rd,FENSMERE RD,1,PUBLIC WAY, ,LO,0,0,496,6,2-06,2-06,0, ,204.317393567868
648,FENTO1, ,685,Fenton St,FENTON ST,1,PUBLIC WAY, ,LO,0,0,685,3,3-03,3-03,0, ,282.229344900274
649,FENWA2, ,6750,Fenway,FENWAY,1,DCR, ,LO,0,0,6750,8,1-10A,1-10A,0, ,2785.26525407726
650,FENWI1, ,129,Fenwick Pl,FENWICK PL,1,PUBLIC WAY, ,LO,0,0,129,7,1-10B,1-10B,1, ,53.2054316940841
651,FENWO1, ,1477,Fenwood Rd,FENWOOD RD,1,PUBLIC WAY, ,LO,0,0,1477,8,1-10A,1-10A,0, ,609.138256962209
652,FERMO1, ,366,Fermoy Heights Ave,FERMOY HEIGHTS AV,1,PUBLIC WAY, ,LO,0,0,366,4,3-07,3-07,0, ,151.02239975242
653,FERN 1, ,154,Fern St,FERN ST,1,PUBLIC WAY, ,LO,0,0,154,9,2-04,2-04,1, ,63.6212885637566
654,FERNA1, ,381,Fernald Ter,FERNALD TER,1,PUBLIC WAY, ,LO,0,0,381,3,3-03,3-03,0, ,156.904696994833
655,FERNB1, ,527,Fernboro St,FERNBORO ST,1,PUBLIC WAY, ,LO,0,0,527,4,3-03,3-03,0, ,217.25257051026
656,FERNC3, ,426,Ferncroft Rd,FERNCROFT RD,1,PUBLIC WAY, ,LO,0,0,426,6,2-06,2-06,0, ,175.363155118754
657,FERND1, ,532,Ferndale St,FERNDALE ST,1,PUBLIC WAY, ,LO,0,0,532,4,3-07,3-07,0, ,219.476289178833
658,FERRI1, ,459,Ferrin St,FERRIN ST W,1,PUBLIC WAY, ,LO,0,0,459,1,1-1A,1-1A,0, ,189.5707916647
659,FERRI2, ,149,Ferrin St,FERRIN ST E,1,PUBLIC WAY, ,LO,0,0,149,1,1-1A,1-1A,1, ,61.6352995633483
660,FESSE1, ,761,Fessenden St,FESSENDEN ST,1,PUBLIC WAY, ,LO,0,0,761,4,3-07,3-07,0, ,313.633118416172
661,FID K1, ,2619,Fid Kennedy Ave,FID KENNEDY AV,1,PRIVATE WAY, ,LO,0,0,2619,2,3-05,3-05,0, ,1078.82610282858
662,FIDEL1, ,1161,Fidelis Way,FIDELIS WAY,1,PRIVATE WAY, ,LO,0,0,1161,9,2-04,2-04,0, ,478.743950354686
663,FIELD1, ,920,Field St,FIELD ST,1,PUBLIC WAY, ,LO,0,0,920,8,1-10A,1-10A,0, ,379.923774816459
664,FIELD2, ,137,Fieldmont St,FIELDMONT ST,1,PUBLIC WAY, ,LO,0,0,137,5,2-08,2-08,0, ,56.3821101804934
665,FIELD3, ,173,Fields Ct,FIELDS CT,1,PRIVATE WAY, ,LO,0,0,173,2,3-03,3-03,0, ,71.3220461039585
666,FIFIE1, ,559,Fifield St,FIFIELD ST,1,PUBLIC WAY, ,LO,0,0,559,3,3-03,3-03,0, ,230.505148045743
667,FIFTH1, ,441,Fifth St,FIFTH ST,1,PUBLIC WAY, ,LO,0,0,441,1,1-1A,1-1A,1, ,182.093959537604
668,FILOM1, ,200,Filomena Rd,FILOMENA RD,1,PRIVATE WAY, ,LO,0,0,200,5,2-06,2-06,0, ,82.6229993533299
669,FIRST1, ,2521,First Ave,FIRST AV,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,2521,1,1-1A,1-1A,0, ,1040.3797876662
670,FIRTH1, ,848,Firth Rd,FIRTH RD,1,PUBLIC WAY, ,LO,0,0,848,5,2-02,2-02,0, ,349.294275019074
671,FISHE1, ,3132,Fisher Ave,FISHER AV,1,PUBLIC WAY, ,LO,0,0,3132,8,1-10A,1-10A,1, ,1290.71321010219
672,FISHE2, ,131,Fisher Rd,FISHER RD,1,PRIVATE WAY, ,LO,0,0,131,6,2-06,2-06,0, ,54.1416356133897
673,FISKE1, ,115,Fiske Ter,FISKE TER,1,PUBLIC WAY, ,LO,0,0,115,9,2-04,2-04,0, ,47.2910650961304
674,FISKE2, ,324,Fiske's Wharf,FISKE'S WHARF,1,PRIVATE WAY, ,LO,0,0,324,1,1-1B,1-1B,1, ,133.9751002178
675,FLAHE1, ,1115,Flaherty Way,FLAHERTY WAY,1,PRIVATE WAY, ,LO,0,0,1115,2,3-05,3-05,1, ,459.713535169267
676,FLAVI1, ,509,Flavia St,FLAVIA ST,1,PUBLIC WAY, ,LO,0,0,509,3,3-07,3-07,0, ,210.302028711866
677,FLEET1, ,703,Fleet St,FLEET ST BP,1,PUBLIC WAY, ,LO,0,0,703,1,1-1B,1-1B,1, ,289.894346543716
678,FLEET3, ,278,Fleet St,FLEET ST HP,1,PRIVATE WAY, ,LO,0,0,278,5,2-08,2-08,1, ,114.226070829169
679,FLETC1, ,1850,Fletcher St,FLETCHER ST,1,PUBLIC WAY, ,LO,0,0,1850,5,2-06,2-06,0, ,762.338721163902
680,FLINT1, ,421,Flint St,FLINT ST,1,PUBLIC WAY, ,LO,0,0,421,4,3-07,3-07,0, ,173.466346389969
681,FLINT2, ,146,Flint Pl,FLINT PL,1,PRIVATE WAY, ,LO,0,0,146,2,3-05,3-05,0, ,60.2753369349915
682,FLORA1, ,210,Floral Pl,FLORAL PL,1,PRIVATE WAY, ,LO,0,0,210,5,2-08,2-08,0, ,86.4958470837122
683,FLORE1, ,3564,Florence St,FLORENCE ST,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,3564,5,"2-02, 2-06","2-02, 2-06",0, ,1468.31577194902
684,FLORI1, ,1377,Florian St,FLORIAN ST,1,PUBLIC WAY, ,LO,0,0,1377,6,2-02,2-02,0, ,568.04102824153
685,FLORI2, ,315,Florian Way,FLORIAN WAY,1,PUBLIC WAY, ,LO,0,0,315,6,2-02,2-02,1, ,129.887664275058
686,FLORI4, ,1921,Florida St,FLORIDA ST,1,PUBLIC WAY, ,LO,0,0,1921,3,3-07,3-07,1, ,792.864129794632
687,FLOYD1, ,1590,Floyd St,FLOYD ST,1,PUBLIC WAY, ,LO,0,0,1590,4,3-07,3-07,0, ,654.818024570747
688,FOLLE1, ,279,Follen St,FOLLEN ST,1,PUBLIC WAY, ,LO,0,0,279,2,1-1C,1-1C,1, ,114.871880231336
689,FOLSO1, ,857,Folsom St,FOLSOM ST DO,1,PUBLIC WAY, ,LO,0,0,857,7,3-03,3-03,1, ,353.560978833745
690,FOLSO2, ,124,Folsom Ave,FOLSOM AV,1,PRIVATE WAY, ,LO,0,0,124,8,1-10A,1-10A,0, ,51.1445795991884
691,FOLSO3, ,207,Folsom St,FOLSOM ST WR,1,PRIVATE WAY, ,LO,0,0,207,6,2-02,2-02,1, ,85.3646444733811
692,FOLSO4, ,255,Folsom St,FOLSOM ST HP,1,PRIVATE WAY, ,LO,0,0,255,5,2-08,2-08,1, ,104.968857185589
693,FOODM1, ,1093,Foodmart Rd,FOODMART RD,1,PUBLIC WAY, ,CO,0,0,1093,2,3-05,3-05,0, ,451.75660722619
694,FORBE1, ,1440,Forbes St,FORBES ST,1,PUBLIC WAY, ,LO,0,0,1440,6,"1-10A, 2-02","1-10A, 2-02",0, ,593.991700119031
695,FORD 1, ,359,Ford St,FORD ST,1,PUBLIC WAY, ,LO,0,0,359,1,1-09,1-09,0, ,147.83611561416
696,FORDH1, ,647,Fordham Rd,FORDHAM RD,1,PUBLIC WAY, ,LO,0,0,647,9,2-04,2-04,1, ,267.312070812126
697,FORES1, ,4807,Forest Hills St,FOREST HILLS ST,1,PUBLIC WAY, ,AR,0,0,4807,6,2-02,2-02,0, ,1984.202991713
698,FORES2, ,1422,Forest St,FOREST ST,1,PUBLIC WAY, ,LO,0,0,1422,7,1-10B,1-10B,0, ,586.396983560185
699,FORES3, ,424,Forestvale Rd,FORESTVALE RD,1,PRIVATE WAY, ,LO,0,0,424,5,2-08,2-08,1, ,174.920903311182
700,FORES4, ,1121,Forest Hills Ave,FOREST HILLS AV,1,PRIVATE WAY, ,LO,0,0,1121,6,2-02,2-02,0, ,462.064848948567
701,FORES7, ,148,Forest Pl,FOREST PL RX,1,PRIVATE WAY, ,LO,0,0,148,7,1-10B,1-10B,0, ,60.9296165117011
702,FORES9, ,177,Forest Pl,FOREST PL CH,1,PRIVATE WAY, ,LO,0,0,177,1,1-1A,1-1A,0, ,73.1937502081608
703,FORSY1, ,1449,Forsyth St,FORSYTH ST,1,PUBLIC WAY, ,CO,0,0,1449,8,1-10A,1-10A,0, ,598.453215544162
704,FORSY2, ,714,Forsyth Way,FORSYTH WAY,1,PARK, ,LO,0,0,714,8,1-10A,1-10A,0, ,294.632578550683
705,FORT 1, ,1343,Fort Ave,FORT AV,1,PUBLIC WAY, ,LO,0,0,1343,7,1-10B,1-10B,1, ,553.879020728316
706,FORT 2, ,266,Fort Avenue Ter,FORT AVENUE TER,1,PRIVATE WAY, ,LO,0,0,266,7,1-10B,1-10B,0, ,109.90282815936
707,FORT 3, ,310,Fort Hill Wharf,FORT HILL AV,1,PRIVATE WAY, ,LO,0,0,310,1,1-1C,1-1C,1, ,128.139567602948
708,FOSSD1, ,441,Fossdale Rd,FOSSDALE RD,1,PUBLIC WAY, ,LO,0,0,441,3,3-07,3-07,0, ,182.052873662714
709,FOSTE1, ,4146,Foster St,FOSTER ST BR,1,PUBLIC WAY, ,AR,0,0,4146,9,2-04,2-04,1, ,1713.07550150499
710,FOSTE3, ,256,Foster St,FOSTER ST BP,1,PUBLIC WAY, ,LO,0,0,256,1,1-1B,1-1B,1, ,105.906418613361
711,FOSTE4, ,68,Foster Ct,FOSTER CT,1,PRIVATE WAY, ,LO,0,0,68,1,1-1B,1-1B,1, ,28.1125381398291
712,FOSTE5, ,154,Foster Ter,FOSTER TER,1,PRIVATE WAY, ,LO,0,0,154,9,2-04,2-04,1, ,63.5178039041655
713,FOSTE6, ,198,Foster's Wharf,FOSTER'S WHARF,1,PRIVATE WAY, ,LO,0,0,198,1,1-1C,1-1C,0, ,81.4698233382808
714,FOTTL1, ,820,Fottler Rd,FOTTLER RD,1,PUBLIC WAY, ,LO,0,0,820,5,3-07,3-07,0, ,337.800330705729
715,FOUND1, ,1147,Foundry St,FOUNDRY ST,1,PUBLIC WAY, ,AR,0,0,1147,2,3-05,3-05,0, ,473.782970993158
716,FOUNT1, ,502,Fountain St,FOUNTAIN ST,1,PUBLIC WAY, ,LO,0,0,502,7,1-10B,1-10B,0, ,207.233640262267
717,FOUNT2, ,121,Fountain Pl,FOUNTAIN PL,1,PRIVATE WAY, ,LO,0,0,121,1,1-1B,1-1B,1, ,49.8280110652766
718,FOURT1, ,184,Fourth Street Pl,FOURTH ST PL,1,PRIVATE WAY, ,LO,0,0,184,2,3-05,3-05,1, ,75.785646436098
719,FOWLE1, ,212,Fowle St,FOWLE ST,1,PUBLIC WAY, ,LO,0,0,212,5,2-02,2-02,1, ,87.0403573369945
720,FOWLE2, ,1282,Fowler St,FOWLER ST,1,PUBLIC WAY, ,LO,0,0,1282,4,3-03,3-03,0, ,527.82764505718
721,FOX P1, ,300,Fox Point Rd,FOX POINT RD,1,PRIVATE WAY, ,LO,0,0,300,3,3-03,3-03,0, ,123.462441302755
722,FOX S1, ,797,Fox St,FOX ST,1,PUBLIC WAY, ,LO,0,0,797,3,3-03,3-03,0, ,328.258930864911
723,FRANC1, ,361,Francesca St,FRANCESCA ST,1,PUBLIC WAY, ,LO,0,0,361,6,2-06,2-06,0, ,148.930795537763
724,FRANC2, ,2061,Francis St,FRANCIS ST,1,PUBLIC WAY, ,LO,0,0,2061,8,1-10A,1-10A,0, ,849.639930068142
725,FRANC3, ,808,Franconia St,FRANCONIA ST,1,PUBLIC WAY, ,LO,0,0,808,3,3-07,3-07,0, ,332.369691771288
726,FRANC6, ,552,Francis J. Murray Way,FRANCIS J. MURRAY WAY,1,PRIVATE WAY, ,LO,0,0,552,2,3-05,3-05,1, ,227.473661214922
727,FRANC7, ,2249,Francis Parkman Dr,FRANCIS PARKMAN DR,1,DCR, ,LO,0,0,2249,6,2-02,2-02,0, ,928.835739452259
728,FRANC8, ,660,Franclaire Dr,FRANCLAIRE DR,1,PRIVATE WAY, ,LO,0,0,660,6,2-06,2-06,0, ,271.715010481062
729,FRANK10, ,355,Franklin St,FRANKLIN ST CH,1,PUBLIC WAY, ,LO,0,0,355,1,1-1A,1-1A,1, ,146.430935456311
730,FRANK12, ,308,Franklin Ct,FRANKLIN CT,1,PRIVATE WAY, ,LO,0,0,308,2,3-03,3-03,0, ,126.71833592916
731,FRANK13, ,216,Franklin Pl,FRANKLIN PL,1,PRIVATE WAY, ,LO,0,0,216,5,2-02,2-02,0, ,89.1031933378661
732,FRANK15, ,416,Franklin St,FRANKLIN ST DO,1,PRIVATE WAY, ,LO,0,0,416,3,3-07,3-07,0, ,171.7085787051
733,FRANK16, ,123,Franklin Garden,FRANKLIN GARDEN,1,PRIVATE WAY, ,LO,0,0,123,7,1-10B,1-10B,1, ,50.5636737446097
734,FRANK3, ,305,Frankfort St,FRANKFORT ST #3,1,STATE, ,LO,0,0,305,1,1-09,1-09,1, ,126.092246192464
735,FRANK4, ,1223,Frankfort St,FRANKFORT ST EB,1,PUBLIC WAY, ,CO,0,0,1223,1,1-09,1-09,1, ,504.816511710754
736,FRANK5, ,361,Franklin St,FRANKLIN ST HP,1,PUBLIC WAY, ,LO,0,0,361,5,2-08,2-08,0, ,148.777359532508
737,FRANK6, ,1095,Franklin Hill Ave,FRANKLIN HILL AV,1,PUBLIC WAY, ,AR,0,0,1095,4,3-07,3-07,0, ,451.11175061836
738,FRANK8, ,2485,Franklin St,FRANKLIN ST BP,1,PUBLIC WAY, ,AR,0,0,2485,1,1-1C,1-1C,1, ,1024.74906366205
739,FRANK9, ,290,Franklin Ter,FRANKLIN TER,1,PUBLIC WAY, ,LO,0,0,290,5,2-08,2-08,0, ,119.304742422675
740,FRAWL1, ,566,Frawley St,FRAWLEY ST,1,PUBLIC WAY, ,LO,0,0,566,8,1-10A,1-10A,1, ,234.030510091535
741,FRAZE1, ,798,Frazer St,FRAZER ST HP,1,PUBLIC WAY, ,LO,0,0,798,5,2-08,2-08,0, ,328.204882959454
742,FRAZE2, ,349,Frazer St,FRAZER ST DO,1,PRIVATE WAY, ,LO,0,0,349,3,3-07,3-07,0, ,144.217678558233
743,FREDE1, ,308,Frederick St,FREDERICK ST,1,PUBLIC WAY, ,LO,0,0,308,2,3-05,3-05,1, ,127.18900115085
744,FREDE2, ,532,Frederika St,FREDERIKA ST,1,PUBLIC WAY, ,LO,0,0,532,3,3-07,3-07,1, ,219.508232984293
745,FREDE3, ,49,"Douglass, Frederick Sq",FREDERICK DOUGLASS SQ,1,PUBLIC WAY, ,LO,0,0,49,7,1-10B,1-10B,1, ,20.3644266707707
746,FREDO1, ,151,Fredonia St,FREDONIA ST,1,PRIVATE WAY, ,LO,0,0,151,4,3-03,3-03,1, ,62.1950377979793
747,FREEL1, ,782,Freeland St,FREELAND ST,1,PUBLIC WAY, ,LO,0,0,782,3,3-07,3-07,0, ,322.518169513622
748,FREEM1, ,715,Freeman Ave,FREEMAN AV,1,PUBLIC WAY, ,LO,0,0,715,6,2-06,2-06,0, ,285.928278781617
749,FREEM2, ,170,Freeman Pl,FREEMAN PL,1,PRIVATE WAY, ,LO,0,0,170,1,1-1B,1-1B,1, ,70.3444629940466
750,FREEM3, ,412,Freeman St,FREEMAN ST,1,PRIVATE WAY, ,LO,0,0,412,3,"3-03, 3-07","3-03, 3-07",0, ,170.111734808341
751,FREEP1, ,7742,Freeport St,FREEPORT ST,1,PUBLIC WAY, ,AR,0,0,7742,3,"3-03, 3-07","3-03, 3-07",1, ,3194.03008390157
752,FREEP3, ,415,Freeport Way,FREEPORT WAY,1,PUBLIC WAY, ,LO,0,0,415,3,3-03,3-03,0, ,170.792316936335
753,FREMO1, ,1156,Fremont St,FREMONT ST,1,PUBLIC WAY, ,CO,0,0,1156,4,3-07,3-07,0, ,475.963718558464
754,FRENC1, ,358,French St,FRENCH ST,1,PUBLIC WAY, ,LO,0,0,358,4,3-07,3-07,0, ,147.26789050456
755,FRESN1, ,503,Fresno St,FRESNO ST,1,PUBLIC WAY, ,LO,0,0,503,5,2-06,2-06,1, ,207.264376352661
756,FRIEN2, ,472,Friendship Rd,FRIENDSHIP RD,1,PUBLIC WAY, ,LO,0,0,472,5,2-08,2-08,0, ,194.216926673552
757,FRONT1, ,513,Frontenac St,FRONTENAC ST,1,PUBLIC WAY, ,LO,0,0,513,4,3-07,3-07,1, ,210.887186455423
758,FRONT2, ,5112,Frontage Rd,FRONTAGE RD,1,STATE, ,AR,0,0,5112,2,"1-1C, 3-05","1-1C, 3-05",0, ,2111.11153432884
759,FROST1, ,442,Frost Ave,FROST AV,1,PUBLIC WAY, ,LO,0,0,442,3,3-07,3-07,1, ,182.308466115523
760,FRUEA1, ,150,Fruean Pl,FRUEAN PL,1,PRIVATE WAY, ,LO,0,0,150,3,3-03,3-03,0, ,61.7372631276417
761,FRUIT1, ,529,Fruit St,FRUIT ST,1,PUBLIC WAY, ,LO,0,0,529,8,1-1B,1-1B,1, ,218.096015921245
762,FULDA1, ,918,Fulda St,FULDA ST,1,PUBLIC WAY, ,LO,0,0,918,7,1-10B,1-10B,0, ,378.387990064398
763,FULLE1, ,4809,Fuller St,FULLER ST DO,1,PUBLIC WAY, ,CO,0,0,4809,3,3-07,3-07,1, ,1979.05949078448
764,FULLE2, ,208,Fuller St,FULLER ST BR,1,PUBLIC WAY, ,LO,0,0,208,9,2-04,2-04,1, ,86.0389473450973
765,FULLE3, ,647,Fullerton St,FULLERTON ST,1,PUBLIC WAY, ,LO,0,0,647,8,1-10A,1-10A,1, ,266.677932518324
766,FULTO1, ,888,Fulton St,FULTON ST BP,1,PUBLIC WAY, ,LO,0,0,825,1,1-1B,1-1B,1, ,366.741232565366
767,FULTO2, ,80,Fulton Pl,FULTON PL,1,PUBLIC WAY, ,LO,0,0,80,1,1-1B,1-1B,1, ,33.0392137914851
768,FULTO3, ,329,Fulton St,FULTON ST HP,1,PRIVATE WAY, ,LO,0,0,329,5,2-08,2-08,0, ,135.589512956962
769,FURBU1, ,1546,Furbush Rd,FURBUSH RD,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,1546,6,2-06,2-06,0, ,637.368771181948
770,FURNI1, ,354,Furnival Rd,FURNIVAL RD,1,PUBLIC WAY, ,LO,0,0,354,6,2-02,2-02,1, ,146.199390345558
771,G ST 1, ,2174,G St,G ST,1,PUBLIC WAY, ,AR,0,0,2174,2,3-05,3-05,0, ,898.524761180004
772,GAGE 1, ,105,Gage St,GAGE ST,1,PUBLIC WAY, ,LO,0,0,105,2,1-10B,1-10B,1, ,43.1707043270704
773,GALLI1, ,10705,Gallivan Blvd,GALLIVAN BLVD,1,DCR, ,AR,0,0,10705,3,3-07,3-07,1, ,4405.82341722797
774,GALTY1, ,460,Galty Ave,GALTY AV,1,PUBLIC WAY, ,LO,0,0,460,3,3-07,3-07,0, ,190.026911177448
775,GANNE1, ,504,Gannett St,GANNETT ST,1,PUBLIC WAY, ,LO,0,0,504,7,1-10B,1-10B,1, ,208.278640881338
776,GARDE1, ,235,Garden Court St,GARDEN COURT ST,1,PUBLIC WAY, ,LO,0,0,235,1,1-1B,1-1B,1, ,97.1983885878502
777,GARDE2, ,660,Garden St,GARDEN ST,1,PUBLIC WAY, ,LO,0,0,660,8,1-1B,1-1B,1, ,272.723049653469
778,GARDE3, ,1546,Gardena St,GARDENA ST,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,1546,9,2-04,2-04,0, ,637.044336530467
779,GARDE4, ,398,Gardenside St,GARDENSIDE ST,1,PUBLIC WAY, ,LO,0,0,398,5,2-02,2-02,1, ,163.92139186143
780,GARDE5, ,50,Garden Street Arch,GARDEN ST ARCH,1,PRIVATE WAY, ,LO,0,0,50,8,1-1B,1-1B,1, ,20.6648952768562
781,GARDN1, ,3039,Gardner St,GARDNER ST BR,1,PUBLIC WAY, ,CO,0,0,3039,9,2-04,2-04,1, ,1251.59309702696
782,GARDN3, ,359,Gardner St,GARDNER ST RX,1,PUBLIC WAY, ,LO,0,0,359,7,1-10B,1-10B,1, ,148.327337962195
783,GARDN4, ,3602,Gardner St,GARDNER ST WR,1,PUBLIC WAY, ,LO,0,0,3602,6,2-06,2-06,0, ,1483.29458844455
784,GARDN6, ,112,Gardner Pl,GARDNER PL SB,1,PRIVATE WAY, ,LO,0,0,112,2,3-05,3-05,0, ,46.0667993867701
785,GARDN7, ,207,Gardner Ter,GARDNER TER,1,PRIVATE WAY, ,LO,0,0,207,9,2-04,2-04,1, ,85.4350568138495
786,GARDN8, ,135,Gardner Pl,GARDNER PL WR,1,PRIVATE WAY, ,LO,0,0,135,6,2-06,2-06,0, ,55.712528617687
787,GARDN9, ,143,Gardner St,GARDNER ST CH,1,PUBLIC WAY, ,LO,0,0,143,1,1-1A,1-1A,1, ,59.2830186786634
788,GARFI1, ,3568,Garfield Ave,GARFIELD AV,1,PUBLIC WAY, ,CO,0,0,3568,5,2-08,2-08,1, ,1470.14766764131
789,GARNE1, ,856,Garner Rd,GARNER RD,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,856,3,3-07,3-07,0, ,352.981719287055
790,GARNE2, ,1197,Garnet Rd,GARNET RD,1,PUBLIC WAY, ,LO,0,0,1197,6,2-06,2-06,0, ,493.458067530579
791,GARRI1, ,382,Garrison St,GARRISON ST,1,PUBLIC WAY, ,LO,0,0,424,2,1-1C,1-1C,1, ,157.452922194445
792,GARTH1, ,1058,Garth Rd,GARTH RD,1,PUBLIC WAY, ,LO,0,0,1058,6,2-06,2-06,1, ,435.774079844105
793,GARTL1, ,635,Gartland St,GARTLAND ST,1,PUBLIC WAY, ,LO,0,0,635,6,2-02,2-02,1, ,261.835560727452
794,GASTO1, ,1101,Gaston St,GASTON ST,1,PUBLIC WAY, ,LO,0,0,1101,7,"1-10B, 3-03","1-10B, 3-03",1, ,453.40628765408
795,GATES1, ,1083,Gates St,GATES ST,1,PUBLIC WAY, ,LO,0,0,1083,2,3-05,3-05,0, ,447.693755663141
796,GAY H1, ,920,Gay Head St,GAY HEAD ST,1,PUBLIC WAY, ,LO,0,0,920,6,1-10A,1-10A,0, ,380.012789733048
797,GAY S1, ,295,Gay St,GAY ST,1,PUBLIC WAY, ,LO,0,0,295,7,1-10B,1-10B,1, ,121.862507750371
798,GAYLA1, ,627,Gayland St,GAYLAND ST,1,PUBLIC WAY, ,LO,0,0,627,7,3-03,3-03,1, ,258.345591388702
799,GAYLO1, ,487,Gaylord St,GAYLORD ST,1,PUBLIC WAY, ,LO,0,0,487,4,3-03,3-03,1, ,200.51824813104
800,GEM A1, ,154,Gem Ave,GEM AVE,1,PRIVATE WAY, ,LO,0,0,154,9,2-04,2-04,0, ,63.6172303888736
801,GEN L1, ,1050,Gen Lawrence J. Logan Way,LOGAN WAY,1,PUBLIC WAY, ,LO,0,0,1050,2,3-05,3-05,1, ,432.870316460704
802,GEN W1, ,1177,Gen William H. Devine Way,DEVINE WAY,1,PUBLIC WAY, ,CO,0,0,1177,2,3-05,3-05,1, ,484.355297044196
803,GENE 1, ,351,Gene St,GENE ST,1,PUBLIC WAY, ,LO,0,0,351,7,3-03,3-03,1, ,144.62625260489
804,GENEV1, ,6918,Geneva Ave,GENEVA AV,1,PUBLIC WAY, ,AR,0,0,6918,4,"3-03, 3-07","3-03, 3-07",0, ,2850.58974067676
805,GENEV2, ,831,Geneva St,GENEVA ST,1,PRIVATE WAY, ,LO,0,0,831,1,1-09,1-09,1, ,342.876961735147
806,GEORG1, ,810,George St,GEORGE ST HP,1,PUBLIC WAY, ,LO,0,0,810,5,2-08,2-08,0, ,334.061148964065
807,GEORG2, ,1769,George St,GEORGE ST RX,1,PUBLIC WAY, ,LO,0,0,1769,7,"1-10B, 3-03","1-10B, 3-03",0, ,729.854218773286
808,GEORG4, ,1131,Georgia St,GEORGIA ST,1,PUBLIC WAY, ,LO,0,0,1131,7,"1-10B, 3-03","1-10B, 3-03",0, ,465.946213927265
809,GEORG5, ,1088,George R. Visconti Rd,GEORGE R. VISCONTI RD,1,PUBLIC WAY/STATE, ,AR,0,0,1088,1,1-09,1-09,1, ,448.592369312442
810,GEORG7, ,3153,Georgetowne Dr,GEORGETOWNE DR,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,3153,5,"2-06, 2-08","2-06, 2-08",0, ,1299.0583956634
811,GEORG8, ,625,Georgetowne Pl,GEORGETOWNE PL,1,PRIVATE WAY, ,LO,0,0,625,5,2-08,2-08,0, ,257.567924427374
812,GERAG1, ,201,Geraghty Ter,GERAGHTY TER,1,PUBLIC WAY, ,LO,0,0,201,5,2-08,2-08,1, ,82.6849937777606
813,GERAL1, ,572,Gerald Rd,GERALD RD,1,PUBLIC WAY, ,LO,0,0,572,9,2-04,2-04,0, ,236.381419085819
