Neighborhood,Street,Address_1,Address_2,Intersection,From,To,Permittee,Contractor,Permit,Project_Category,Construction_Notes,Work_Schedule,ExpirationDate,Estimated_Completion_Date,Roadway_Plates_In_Use,Sidewalk_Plates_In_Use,Status,Trench_Length,Contact_Number,NumberOfWorkZones,District
MISSION HILL/FENWAY,BAYSTATE RD,94,96,,,,Verizon,Danella Line Co,EXCA-1429342,NEW CONDUIT AND/OR MAIN,INSTALLATION CONDUIT,Days & Weekends,2023-01-28 00:00:00,2023-01-28 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,10A
MISSION HILL/FENWAY,BAYSTATE RD,45,,,,,Verizon,Danella Line Co,EXCA-1429348,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,2023-01-28 00:00:00,2023-01-28 00:00:00,,,,,800-446-8946,1,10A
MISSION HILL/FENWAY,BAY STATE RD,111,,,,,Verizon,Danella Line Co,EXCA-1429421,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,2023-01-28 00:00:00,2023-01-28 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,10A
MISSION HILL/FENWAY,SCAHEM ST,25,,,,,C McGue Excavating,C McGue Excavating,EXCA-1430687,SERVICE,"INSTALLATION OF WATER, FIREPIPE, SEWER & DRAIN",Days & Weekends,2023-01-23 00:00:00,2023-01-23 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,10A
MISSION HILL/FENWAY,PARKER ST,623,,,,,National Grid,National Grid,EXCA-1428707,MAINTENANCE,,Days & Weekends,2023-02-03 00:00:00,2023-02-03 00:00:00,,,,,877-304-1203,1,10A
MISSION HILL/FENWAY,MASSACHUSETTS AV,29,,,,,Comcast,Mirra Company Co.,EMER-1397112,EMERGENCY,Emergency - Cable Replacement,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,1-857-919 93,1,10A
MISSION HILL/FENWAY,MASSACHUSETTS AV,,,,,,Comcast,Mirra Company Co.,EMER-1397112,EMERGENCY,Emergency - Cable Replacement,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,1-857-919 93,1,10A
MISSION HILL/FENWAY,RUGGLES ST,260,,,,,National Grid,National Grid,EMER-1323834,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-13 00:00:00,2023-01-12 00:00:00,1,,PLATES PINNED & BERMED,,1-877-304 12,1,10A
MISSION HILL/FENWAY,BROOKLINE AV,201,,,,,J Derenzo,J Derenzo,EXCA-1228934,SERVICE,INSTALLATION OF DRAIN (7AM-5PM),Days & Weekends,2022-12-23 00:00:00,2023-01-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,508-509-4879,1,10A
MISSION HILL/FENWAY,MASSACHUSETTS AV,,,,NEWBURY ST,BOYLSTON ST,J Derenzo,J Derenzo,EXCA-1323662,SERVICE,INSTALLATION OF CONDUIT,Days & Weekends,2022-12-09 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,50,508-509-4879,1,10A
MISSION HILL/FENWAY,WORTHINGTON ST,0,,,,,National Grid,Feeney Brothers Excavation,EXCA-1376529,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,2022-12-23 00:00:00,2023-01-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,615,877-304-1203,1,10A
EAST BOSTON,CHELSEA ST,84,,,,,NATIONAL GRID,National Grid,EMER-1323275,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-07 00:00:00,2023-01-07 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,09
EAST BOSTON,LOVELL ST,4,,,,,National Grid,National Grid,EMER-1323274,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-07 00:00:00,2023-01-07 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,09
EAST BOSTON,MAVERICK ST ,147,,,,,National Grid,National Grid,EMER-1323273,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-07 00:00:00,2023-01-07 00:00:00,2,,PLATES PINNED & BERMED,,877-304-1203,1,09
EAST BOSTON,BAYSWATER ST,150,,,,,National Grid,National Grid,EXCA-1423606,MAINTENANCE,ABANDON SERVICE,Days & Weekends,2023-02-01 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,MERIDIAN ST,477,,,,,National Grid,National Grid,EXCA-1423625,MAINTENANCE,ABANDON SERVICE,Days & Weekends,2023-02-01 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,SUMNER ST,303,,,,,National Grid,National Grid ,EXCA-1423621,MAINTENANCE,ABANDON SERVICE,Days & Weekends,2023-02-01 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,FALCON ST,24,26,,,,National Grid,National Grid ,EXCA-1423611,MAINTENANCE,ABANDON SERVICE,Days & Weekends,2023-02-01 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,MONTMORENCI AV,32,,,,,National Grid,National Grid ,EXCA-1423617,MAINTENANCE,ABANDON SERVICE,Days & Weekends,2023-02-01 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,SARATOGA ST,852,,,,,National Grid,National Grid ,EXCA-1424620,,Maintenance,Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,09
EAST BOSTON,CHAUCER ST,57,,,,,Keash Excavating Inc,Keash Excavating Inc,EXCA-1420101,,Service,Days & Weekends,2023-01-19 00:00:00,2023-01-19 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,09
EAST BOSTON,SUMNER ST,195,,,,,National Grid,National Grid,EMER-1323843,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-13 00:00:00,2023-01-13 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,09
EAST BOSTON,HAVRE ST,196,,,,,Keash Excavating Inc,Keash Excavating Inc,EXCA-1432425,SERVICE,CUT AND CAP EXISTING,Days & Weekends,2023-02-17 00:00:00,2023-02-17 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,857-231-1171,1,09
EAST BOSTON,CURTIS ST,,,MCLELLAN HY,,,National Grid,National Grid,EMER-1323855,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-18 00:00:00,2023-01-19 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,CURTIS ST,7,11,,,,C McGue Excavating,C McGue Excavating,EXCA-1432332,SERVICE,CUT AND CAP,Days & Weekends,2023-01-31 00:00:00,2023-01-31 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,617-778-8775,1,09
EAST BOSTON,CHELSEA ST,108,,,,,C McGue Excavating,C McGue Excavating,EXCA-1432366,SERVICE,"NEW FIRE, WATER & SEWER",Days & Weekends,2023-01-30 00:00:00,2023-01-30 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,617-778-8775,1,09
EAST BOSTON,MONMOUTH ST,30,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1424071,EMERGENCY,Service Repair (Leak on Service),Days & Weekends,2023-01-19 00:00:00,2023-01-19 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,09
EAST BOSTON,PRINCETON ST,226,,,,,Keash Excavating Inc,Keash Excavating Inc,EXCA-1406349,SERVICE,INSTALL NEW MAIN,Days & Weekends,2023-01-24 00:00:00,2023-01-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,857-231-1171,1,09
EAST BOSTON,PRINCETON ST,238,,,,,National Grid,National Grid,EMER-1323873,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-26 00:00:00,2023-02-08 00:00:00,2,,PLATES PINNED & BERMED,,877-304-1203,1,09
ALLSTON/BRIGHTON,LINCOLN ST,298,,,,,National Grid,National Grid,1436907,MAINTENANCE,,Days & Weekends,2023-02-24 00:00:00,2023-02-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,,,04
EAST BOSTON,ORIENT AV,120,,,,,Boston Water & Sewer Commission,C Naughton Corp,EMER-1426147,EMERGENCY,Sewer Repair (Broken Sewer),Days & Weekends,2023-02-01 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,09
EAST BOSTON,SARATOGA ST,91,,,,,National Grid,National Grid,EXCA-1433433,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,2023-02-08 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,LONDON ST,149,,,,,Boston Water & Sewer Commission,Umbro & Sons Construction,EMER-1426153,EMERGENCY,Sewer Repair (Broken Sewer),Days & Weekends,2023-02-01 00:00:00,2023-01-31 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,09
EAST BOSTON,FALCON ST,0,,BORDER ST,,,Eversource Electric,Riley Brothers,EXCA-1435591,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,2023-03-03 00:00:00,2023-03-03 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,112,800-592-2000,1,09
EAST BOSTON,CHELSEA ST,86,,,,,National Grid,National Grid,EMER-1333334,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-09 00:00:00,2023-02-09 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,LEXINGTON ST,217,,,,,National Grid,National Grid,EXCA-1436893,MAINTENANCE,CUT AND CAP,Days & Weekends,2023-02-24 00:00:00,2023-02-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,LEXINGTON ST,218,,,,,National Grid,National Grid,EXCA-1436895,MAINTENANCE,CUT AND CAP,Days & Weekends,2023-02-24 00:00:00,2023-02-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,MONMOUTH ST,43,,,,,National Grid,National Grid,EXCA-1436854,MAINTENANCE,CUT AND CAP,Days & Weekends,2023-02-24 00:00:00,2023-02-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,EUTAW ST,35,,,,,National Grid,National Grid,EXCA-1436891,MAINTENANCE,CUT AND CAP,Days & Weekends,2023-02-24 00:00:00,2023-02-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,COTTAGE ST,161,,,,,National Grid,National Grid,EXCA-1436889,MAINTENANCE,CUT AND CAP,Days & Weekends,2023-02-24 00:00:00,2023-02-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,ST ANDREW ST,116,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-000000,EMERGENCY,Control Dig & Reset (Leak on Service),Days & Weekends,2023-02-15 00:00:00,2023-02-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,09
EAST BOSTON,EVERETT,230,,,,,C McGue Excavating,C McGue Excavating,EXCA-1438086,SERVICE,,Days & Weekends,2023-02-20 00:00:00,2023-02-20 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,09
EAST BOSTON,MAVERICK ST ,171,,,,,National Grid,National Grid,EMER-1364985,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-15 00:00:00,2023-02-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,SAINT ANDREW ST,2,,,,,National Grid,National Grid,EXCA-1436804,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,2023-02-24 00:00:00,2023-02-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,SARATOGA ST,821,,,,,National Grid,National Grid,EXCA-1332015,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,2023-03-15 00:00:00,2023-03-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,SARATOGA ST,343,,,,,National Grid,National Grid,EXCA-1347944,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,2023-03-15 00:00:00,2023-03-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,SAINT ANDREW ST,39,,,,,National Grid,National Grid,EXCA-1257541,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,2023-03-15 00:00:00,2023-03-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,BAYSWATER ST,140,,,,,National Grid,National Grid,EXCA-1328654,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,2023-03-15 00:00:00,2023-03-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,BENNINGTON ST,695,,,,,National Grid,National Grid ,EXCA-1361369,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,2023-03-10 00:00:00,2023-03-10 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,MONMOUTH ST,5,,,,,National Grid,National Grid,EXCA-1263371,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,2023-03-15 00:00:00,2023-03-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,MONMOUTH ST,22,,,,,National Grid,National Grid,EXCA-1340023,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,2023-03-15 00:00:00,2023-03-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,MAVERICK ST,303,,,,,National Grid,National Grid,EXCA-1366945,,Maintenance,Days & Weekends,2023-03-15 00:00:00,2023-03-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,PRINCETON ST,257,,,,,Crown Castle,Phoenix Communications,EMER-1429302,EMERGENCY,Service Outage,Days & Weekends,2023-02-18 00:00:00,2023-02-23 00:00:00,3,,PLATES PINNED & BERMED,,1-888-632 09,1,09
EAST BOSTON,LEXINGTON ST ,30,,,,,National Grid,National Grid,EMER-1365007,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-23 00:00:00,2023-02-23 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,CHELSEA ST ,580,,,,,National Grid,National Grid,EMER-1365002,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-23 00:00:00,2023-02-23 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,PRINCETON ST,198,370,,,,National Grid,Feeney Brothers Excavation,EXCA-1395411,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,2023-03-07 00:00:00,2023-03-07 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,MAVERICK ST,60,,,,,Boston Water & Sewer Commission,RJV Construction,EXCA-1375895,NEW CONDUIT AND/OR MAIN,INSTALLATION OF WATER AND SEWER,Days & Weekends,2023-03-21 00:00:00,2023-03-21 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,480,617-989-7000,1,09
EAST BOSTON,ORLEANS ST,45,197,,,,Boston Water & Sewer Commission,RJV Construction,EXCA-1301201,NEW CONDUIT AND/OR MAIN,INSTALLATION OF SEWER,Days & Weekends,2023-03-21 00:00:00,2023-03-21 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,1695,617-989-7000,1,09
EAST BOSTON,PARIS ST,190,,,,,National Grid,National Grid,EXCA-1213433,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,2023-03-10 00:00:00,2023-03-10 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,PARIS ST,113,,,,,National Grid,National Grid,EXCA-1253301,SERVICE,INSTALLATION OF GAS SERVICE,Days & Weekends,2023-03-15 00:00:00,2023-03-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,09
EAST BOSTON,SUMNER ST,346,,,,,Boston Water & Sewer Commission,Metro Equipment Corp,EMER-1436424,EMERGENCY,Hydrant Repair (Inoperable Hydrant),Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,09
EAST BOSTON,PUTNAM ST,87,,,,,Keash Excavating Inc,Keash Excavating Inc,EXCA-1361201,SERVICE,INSTALLATION OF WATER SEWER AND FIREPIPE,Days & Weekends,2023-03-10 00:00:00,2023-03-10 00:00:00,,,NO START,,857-231-1171,1,09
HYDE PARK,NORWAY PK,12,,,,,Boston Water & Sewer Commission,Steven Companies,EMER-1436396,EMERGENCY,Casting Repair - Public Safety Concern,Days & Weekends,2023-02-15 00:00:00,2023-02-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,08
HYDE PARK,GLENCLIFF RD,59,,,,,Boston Water & Sewer Commission,Steven Companies,EMER-1436395,EMERGENCY,Casting Repair - Public Safety Concern,Days & Weekends,2023-02-15 00:00:00,2023-02-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,08
HYDE PARK,METROPOLITAN AV,650,,,,,Boston Water & Sewer Commission,GIUGLIANO,EMER-1426165,EMERGENCY,Emergency - Manhole Structural Repair,Days & Weekends,2023-02-07 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,08
HYDE PARK,HYDE PARK AV,1191,,,,,Boston Public Works,Maverick Construction,EXCA-1434328,MAINTENANCE,,Days & Weekends,2023-02-09 00:00:00,2023-02-09 00:00:00,,,,,857-472-0105,1,08
HYDE PARK,HYDE PARK AV,1715,,,,,Boston Public Works,Maverick Construction,EXCA-1435412,MAINTENANCE,,Days & Weekends,2023-02-17 00:00:00,2023-02-17 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,857-472-0105,1,08
HYDE PARK,HYDE PARK AV,926,,,,,Boston Water & Sewer Commission,GIUGLIANO,EMER-1426169,EMERGENCY,Emergency - Manhole Structural Repair,Days & Weekends,2023-02-04 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,08
HYDE PARK,CLARE AV,175,,,,,Boston Water & Sewer Commission,GIUGLIANO,EMER-1426167,EMERGENCY,Casting Repair - Public Safety Concern,Days & Weekends,2023-02-04 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,08
HYDE PARK,HYDE PARK AV,926,,,,,Boston Water & Sewer Commission,GIUGLIANO,EMER-1426169,EMERGENCY,Emergency - Manhole Structural Repair,Days & Weekends,2023-02-07 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,08
HYDE PARK,METROPOLITAN AV,650,,,,,Boston Water & Sewer Commission,GIUGLIANO,EMER-1426165,EMERGENCY,Emergency - Manhole Structural Repair,Days & Weekends,2023-02-04 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,08
HYDE PARK,MATTAKEESETT ST,25,,,,,Ronan 953 LLC,Ronan 953 LLC,EMER-,EMERGENCY,Sewer Repair (Broken Sewer),Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-510 10,1,08
HYDE PARK,SUMMIT AV,7,45,,,,Eversource Gas,Feeney Brothers,EXCA-1409924,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,2023-03-23 00:00:00,2023-03-23 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,472,844-886 9349,1,08
HYDE PARK,RIVER ST,961,,,,,Eversource Gas,,EXCA-1383707,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,2023-03-02 00:00:00,2023-03-02 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,844-886 9349,1,08
HYDE PARK,RIVER ST,912,,,,,Comcast,PV Barone,EXCA-1421236,MAINTENANCE,CONDUIT REPAIR,Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,857-919-9935,1,08
HYDE PARK,WILLILAMS AV,,,,TRUMAN HIGHWAY,SUMMIT ST,Eversource Gas,Feeney Brothers Excavation,EXCA-1430780,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,2023-03-10 00:00:00,2023-03-10 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,1700,844-886 9349,1,08
HYDE PARK,KARDON RD,14,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1426138,EMERGENCY,Control Dig & Reset (Leak on Service),Days & Weekends,2023-01-21 00:00:00,2023-01-21 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,08
HYDE PARK,CUMMINS HY,,,,,,Crown Castle,Phoenix Communications Inc,EMER-1370350,EMERGENCY,Service Outage,Days & Weekends,2023-01-13 00:00:00,2023-01-12 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-212-337 40,1,08
HYDE PARK,GREENWOOD AV,23,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1424058,EMERGENCY,Control Dig & Reset (Leak on Service),Days & Weekends,2023-01-13 00:00:00,2023-01-12 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,08
HYDE PARK,SUMMER ST,90,,,,,Eversource Gas,Eversource Gas,EMER-1076829,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-13 00:00:00,2023-01-12 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-844-886 93,1,08
HYDE PARK,RIVER ST,1279,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1424041,EMERGENCY,Service Repair (Leak on Service),Days & Weekends,2023-01-05 00:00:00,2023-01-05 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,08
HYDE PARK,RIVER ST,824,830,,,,Verizon,Danella Line Co,EXCA-1423473,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,2022-12-23 00:00:00,2023-01-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,96,800-446-8946,1,08
HYDE PARK,WILLIAMS ST,38,,,,,Hercules C & G Drain,A1 pipe restoration Hercul,EMER-00000,EMERGENCY,Sewer Repair (Broken Sewer),Days & Weekends,2023-01-04 00:00:00,2023-01-04 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-781-251 97,1,08
HYDE PARK,HYDE PARK AV,1284,,,,,Verizon,Danella Line Co,EXCA-346865,MAINTENANCE,CASTING REPAIR,Days & Weekends,2023-03-18 00:00:00,2023-03-18 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,08
SOUTH DORCHESTER/MATTAPAN,CHARLEMONT,47,,,,,National Grid,National Grid,EXCA-1422401,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,2022-12-23 00:00:00,2023-01-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,NEPONSET AV,398,,,,,Boston Water & Sewer Commission,Metro Equipment Corp,EMER-1411744,EMERGENCY,Gate Repair (Inoperable Gate),Days & Weekends,2022-12-21 00:00:00,2023-01-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,07
SOUTH DORCHESTER/MATTAPAN,ADAMS ST,772,778,,,,Verizon,Danella Line Co,EXCA-1423469,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,2022-12-23 00:00:00,2023-01-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,150,800-446-8946,1,07
SOUTH DORCHESTER/MATTAPAN,NEPONSET AV,389,415,,,,National Grid,Feeney Brothers Excavation,EXCA-1397581,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,2023-03-07 00:00:00,2023-03-07 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,360,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,ADAMS ST,850,,,,,Verizon,Danella Line Co,EXCA-1408642,SERVICE,INSTALLATION OF CONDUIT,Days & Weekends,2022-12-06 00:00:00,2023-01-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,38,800-446-8946,1,07
SOUTH DORCHESTER/MATTAPAN,DARLINGTON ST,8,,,,,National Grid,National Grid,EMER-1323230,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2022-12-27 00:00:00,2023-01-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,07
SOUTH DORCHESTER/MATTAPAN,FABYAN ST,18,,,,,Better Choice Construction,Better Choice Construction,EXCA-1390770,SERVICE,INSTALLATION OF WATER SERVICES,Days & Weekends,2023-02-03 00:00:00,2023-02-03 00:00:00,,,,,857-264-9269,1,07
SOUTH DORCHESTER/MATTAPAN,FLORIDA ST,35,,,,,National Grid,National Grid,EXCA-1428701,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,2023-02-03 00:00:00,2023-02-03 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,07
SOUTH DORCHESTER/MATTAPAN,DORCHESTER AV,2066,,,,,Crown Castle,New England Electrical Con,EMER-1370349,EMERGENCY,Emergency - Service Outage,Days & Weekends,2023-01-13 00:00:00,2023-01-12 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,888-632-0931,1,07
SOUTH DORCHESTER/MATTAPAN,CUMMINS HWY,548,,,,,National Grid,National Grid,EMER-1323835,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-13 00:00:00,2023-01-12 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,07
SOUTH DORCHESTER/MATTAPAN,HALLET ST,10,,,,,Ronan 953 LLC,Ronan 953 LLC,EXCA-1430676,NEW CONDUIT AND/OR MAIN,INSTALL WATER & SEWER,Days & Weekends,2023-01-26 00:00:00,2023-01-26 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,617-510-1013,1,07
SOUTH DORCHESTER/MATTAPAN,CENTRAL ST,90,,,,,Extenet Systems,Waveguide,EMER-000000,EMERGENCY,Service Outage,Days & Weekends,2023-01-13 00:00:00,2023-01-13 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-978-995 71,1,07
SOUTH DORCHESTER/MATTAPAN,HOUGHTON ST,18,,,,,Boston Water & Sewer Commission,Steven Companies,EMER-1424059,EMERGENCY,Casting Repair - Public Safety Concern,Days & Weekends,2023-01-13 00:00:00,2023-01-12 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,07
