X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-71.1098470005132,42.2859329996478,639923,10419,10419,American Legion Hwy @ Canterbury St,,,,42.285933,-71.109847,LocalBus,,https://www.mbta.com/stops/10419,,0,,1,Boston,American Legion Highway,Canterbury Street,3,3.916666667,Medium,Cracked,Asphalt,0,14,BOSTON,Roslindale,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1463409994557,42.3604590002391,639924,1042,1042,Market St @ Lothrop St,,,,42.360459,-71.146341,LocalBus,,https://www.mbta.com/stops/1042,,0,,1,Boston,Birmingham Parkway,Lothrop Street,3,2.25,Medium,Cracked,Concrete,0,86,BOSTON,Brighton,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.107389999863,42.2874500001826,639925,10421,10421,American Legion Hwy @ Walk Hill St,,,,42.28745,-71.10739,LocalBus,,https://www.mbta.com/stops/10421,,0,,1,Boston,American Legion Highway,Walk Hill Street,3,5.166666667,Medium,Good,Asphalt,0,14,BOSTON,Roslindale,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1116949994516,42.2847620002833,639926,10422,10422,Opp 684 American Legion Hwy,,,,42.284762,-71.111695,LocalBus,,https://www.mbta.com/stops/10422,,0,,1,Boston,American Legion Highway,Canterbury Street,3,5.916666667,Medium,Good,Asphalt,0,14,BOSTON,Roslindale,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1162539996133,42.2807520001609,639927,10423,10423,American Legion Hwy @ Stella Rd,,,,42.280752,-71.116254,LocalBus,,https://www.mbta.com/stops/10423,,0,,1,Boston,American Legion Highway,Stella Road,3,4.333333333,Medium,Good,Concrete,0,14,BOSTON,Roslindale,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.116716000249,42.2784669995825,639928,10424,10424,American Legion Hwy @ Cummins Hwy,,,,42.278467,-71.116716,LocalBus,,https://www.mbta.com/stops/10424,,0,,1,Boston,American Legion Highway,Canterbury Street,3,4.916666667,Medium,Excellent,Concrete,0,14,BOSTON,Roslindale,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1167809994208,42.274381999903,639929,10425,10425,Opp 950 American Legion Hwy,,,,42.274382,-71.116781,LocalBus,,https://www.mbta.com/stops/10425,,0,,1,Boston,American Legion Highway,,3,4.75,Medium,Excellent,Concrete,0,14,BOSTON,Roslindale,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0945929995816,42.2932550001658,639930,10427,10427,American Legion Hwy opp Kingbird Rd,,,,42.293255,-71.094593,LocalBus,,https://www.mbta.com/stops/10427,,0,,1,Boston,American Legion Highway,Ramp - American Legion Highway To Rt 203,3,4.833333333,Medium,Uneven,Grass,0,14,BOSTON,Roxbury,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1444130000879,42.3616680004527,639931,1043,1043,Western Ave @ Mackin St,,,,42.361668,-71.144413,LocalBus,,https://www.mbta.com/stops/1043,,0,,1,Boston,Western Avenue,Mackin Street,3,5.583333333,Low,Good,Concrete,0,70A|70|86,BOSTON,Brighton,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1417829995122,42.3621640002002,639932,1045,1045,450 Western Ave,,,,42.362164,-71.141783,LocalBus,,https://www.mbta.com/stops/1045,,0,,1,Boston,Western Avenue,Kelley Court,3,4.916666667,Medium,Good,Concrete,JCD,70A|70|86,BOSTON,Brighton,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
